config,lgbm_ranker,rf_reg,xgb_clf,xgb_reg,ensemble,ridge,lgb_reg,xgb_ranker,rf_clf,delta
baseline,14.041666666666666,13.25,12.083333333333334,11.833333333333334,11.791666666666666,11.625,11.083333333333334,10.958333333333334,10.708333333333334,
candidate,14.041666666666666,12.958333333333334,13.125,13.0,13.416666666666666,11.625,11.083333333333334,12.666666666666666,11.625,1.625
