model,2022,2023,2024,mean,std
ensemble,12.0,9.545454545454545,13.083333333333334,11.542929292929294,1.48005220693444
lgb_reg,9.363636363636363,9.090909090909092,11.958333333333334,10.137626262626263,1.2922398434022369
lgbm_ranker,12.5,10.136363636363637,10.875,11.170454545454547,0.9873075360792593
rf_clf,12.272727272727273,12.227272727272727,11.666666666666666,12.055555555555555,0.27561138686146
rf_reg,11.318181818181818,12.727272727272727,13.25,12.431818181818182,0.815863719511676
ridge,11.863636363636363,11.409090909090908,11.625,11.632575757575758,0.18564470840671
xgb_clf,11.181818181818182,13.227272727272727,11.666666666666666,12.025252525252524,0.8727003830500221
xgb_ranker,10.590909090909092,9.318181818181818,12.333333333333334,10.747474747474747,1.2358989355773922
xgb_reg,11.045454545454545,13.045454545454545,9.5,11.196969696969697,1.4513854563427933
