fold_eval_year,model,avg_pts
2022,ensemble,12.0
2022,lgb_reg,9.363636363636363
2022,lgbm_ranker,12.5
2022,rf_clf,12.272727272727273
2022,rf_reg,11.318181818181818
2022,ridge,11.863636363636363
2022,xgb_clf,11.181818181818182
2022,xgb_ranker,10.590909090909092
2022,xgb_reg,11.045454545454545
2023,ensemble,9.545454545454545
2023,lgb_reg,9.090909090909092
2023,lgbm_ranker,10.136363636363637
2023,rf_clf,12.227272727272727
2023,rf_reg,12.727272727272727
2023,ridge,11.409090909090908
2023,xgb_clf,13.227272727272727
2023,xgb_ranker,9.318181818181818
2023,xgb_reg,13.045454545454545
2024,ensemble,13.083333333333334
2024,lgb_reg,11.958333333333334
2024,lgbm_ranker,10.875
2024,rf_clf,11.666666666666666
2024,rf_reg,13.25
2024,ridge,11.625
2024,xgb_clf,11.666666666666666
2024,xgb_ranker,12.333333333333334
2024,xgb_reg,9.5
