config,cv_delta,holdout,h_delta,status
A_sd030,1.291666666666666,12.25,-1.9600000000000009,REJECTED
B_sd070,-0.4166666666666661,,,REJECTED_CV
C_n800,-0.8333333333333339,,,REJECTED_CV
D_n1000,-0.8333333333333339,,,REJECTED_CV
E_depth4,1.458333333333334,13.708333333333334,-0.5016666666666669,REJECTED
