model,feature,importance
xgb_ranker,avg_qual_last3,0.020486095920205116
xgb_ranker,dnf_last5,0.01996152102947235
xgb_ranker,pts_last3,0.024301664903759956
xgb_ranker,circ_avg_fin,0.017222607508301735
xgb_ranker,circ_last_fin,0.02203022502362728
xgb_ranker,circ_races,0.024707768112421036
xgb_ranker,is_street,0.009049862623214722
xgb_ranker,race_num,0.02258077636361122
xgb_ranker,season_completeness,0.021541908383369446
xgb_ranker,team_avg_fin_season,0.021861806511878967
xgb_ranker,team_avg_qual_season,0.020995566621422768
xgb_ranker,teammate_grid,0.019961055368185043
xgb_ranker,career_races,0.017659394070506096
xgb_ranker,career_avg_fin,0.017984624952077866
xgb_ranker,grid_p10_proximity,0.01654941588640213
xgb_ranker,drv_p10_zone_rate_last10,0.016995813697576523
xgb_ranker,team_p10_zone_rate_season,0.020349634811282158
xgb_ranker,circ_p10_zone_rate,0.021504215896129608
xgb_ranker,drv_finish_std_last5,0.019635196775197983
xgb_ranker,midfield_qual_density,0.012371550314128399
xgb_ranker,self_grid_displacement,0.019941946491599083
xgb_ranker,grid_displacement_behind,0.02135162241756916
xgb_ranker,historical_dnf_rate,0.017369432374835014
xgb_ranker,overtaking_difficulty,0.021254412829875946
xgb_ranker,q_gap_sq,0.02184567227959633
xgb_ranker,grid_x_overtaking,0.02226865291595459
xgb_ranker,drv_form_trend,0.018847063183784485
xgb_ranker,drv_dnf_recovery_rate,0.01342357974499464
xgb_ranker,circ_vsc_rate,0.02278854511678219
xgb_ranker,circ_sc_vsc_combined,0.023885134607553482
xgb_ranker,circ_avg_pit_stops,0.018664279952645302
xgb_ranker,circ_collision_rate,0.018716508522629738
xgb_ranker,q1_gap_pct,0.01608109287917614
xgb_ranker,q2_gap_pct,0.01727859489619732
xgb_ranker,q2_elimination_margin,0.02010633610188961
xgb_ranker,con_xpt_std,0.019728651270270348
xgb_ranker,dnf_rate_last10,0.018035471439361572
xgb_ranker,avg_fin_last10,0.022667814046144485
xgb_ranker,grid_midfield_rank,0.016646316275000572
lgb_reg,grid_position,145.0
lgb_reg,q_gap_pct,336.0
lgb_reg,fp2_position,101.0
lgb_reg,drv_champ_pos,181.0
lgb_reg,drv_champ_pts,398.0
lgb_reg,con_champ_pos,114.0
lgb_reg,con_champ_pts,454.0
lgb_reg,last_race_pos,284.0
lgb_reg,last_dnf,20.0
lgb_reg,last_qual_pos,265.0
lgb_reg,avg_fin_last3,260.0
lgb_reg,avg_fin_last5,340.0
lgb_reg,avg_qual_last3,375.0
lgb_reg,dnf_last5,55.0
lgb_reg,pts_last3,245.0
lgb_reg,circ_avg_fin,385.0
lgb_reg,circ_last_fin,307.0
lgb_reg,circ_races,125.0
lgb_reg,is_street,22.0
lgb_reg,race_num,137.0
lgb_reg,season_completeness,296.0
lgb_reg,team_avg_fin_season,466.0
lgb_reg,team_avg_qual_season,436.0
lgb_reg,teammate_grid,326.0
lgb_reg,career_races,516.0
lgb_reg,career_avg_fin,535.0
lgb_reg,grid_p10_proximity,104.0
lgb_reg,drv_p10_zone_rate_last10,157.0
lgb_reg,team_p10_zone_rate_season,388.0
lgb_reg,circ_p10_zone_rate,166.0
lgb_reg,drv_finish_std_last5,551.0
lgb_reg,midfield_qual_density,225.0
lgb_reg,self_grid_displacement,264.0
lgb_reg,grid_displacement_behind,93.0
lgb_reg,historical_dnf_rate,447.0
lgb_reg,overtaking_difficulty,284.0
lgb_reg,q_gap_sq,109.0
lgb_reg,grid_x_overtaking,541.0
lgb_reg,drv_form_trend,563.0
lgb_reg,drv_dnf_recovery_rate,7.0
lgb_reg,circ_vsc_rate,113.0
lgb_reg,circ_sc_vsc_combined,97.0
lgb_reg,circ_avg_pit_stops,442.0
lgb_reg,circ_collision_rate,372.0
lgb_reg,q1_gap_pct,591.0
lgb_reg,q2_gap_pct,509.0
lgb_reg,q2_elimination_margin,176.0
lgb_reg,con_xpt_std,682.0
lgb_reg,dnf_rate_last10,131.0
lgb_reg,avg_fin_last10,416.0
lgb_reg,grid_midfield_rank,448.0
lgbm_ranker,grid_position,104.0
lgbm_ranker,q_gap_pct,358.0
lgbm_ranker,fp2_position,91.0
lgbm_ranker,drv_champ_pos,196.0
lgbm_ranker,drv_champ_pts,296.0
lgbm_ranker,con_champ_pos,111.0
lgbm_ranker,con_champ_pts,386.0
lgbm_ranker,last_race_pos,262.0
lgbm_ranker,last_dnf,29.0
lgbm_ranker,last_qual_pos,394.0
lgbm_ranker,avg_fin_last3,284.0
lgbm_ranker,avg_fin_last5,322.0
lgbm_ranker,avg_qual_last3,422.0
lgbm_ranker,dnf_last5,101.0
lgbm_ranker,pts_last3,279.0
lgbm_ranker,circ_avg_fin,438.0
lgbm_ranker,circ_last_fin,325.0
lgbm_ranker,circ_races,137.0
lgbm_ranker,is_street,7.0
lgbm_ranker,race_num,174.0
lgbm_ranker,season_completeness,300.0
lgbm_ranker,team_avg_fin_season,355.0
lgbm_ranker,team_avg_qual_season,549.0
lgbm_ranker,teammate_grid,348.0
lgbm_ranker,career_races,530.0
lgbm_ranker,career_avg_fin,480.0
lgbm_ranker,grid_p10_proximity,130.0
lgbm_ranker,drv_p10_zone_rate_last10,230.0
lgbm_ranker,team_p10_zone_rate_season,376.0
lgbm_ranker,circ_p10_zone_rate,163.0
lgbm_ranker,drv_finish_std_last5,574.0
lgbm_ranker,midfield_qual_density,187.0
lgbm_ranker,self_grid_displacement,274.0
lgbm_ranker,grid_displacement_behind,73.0
lgbm_ranker,historical_dnf_rate,383.0
lgbm_ranker,overtaking_difficulty,259.0
lgbm_ranker,q_gap_sq,123.0
lgbm_ranker,grid_x_overtaking,583.0
lgbm_ranker,drv_form_trend,626.0
lgbm_ranker,drv_dnf_recovery_rate,6.0
lgbm_ranker,circ_vsc_rate,127.0
lgbm_ranker,circ_sc_vsc_combined,106.0
lgbm_ranker,circ_avg_pit_stops,467.0
lgbm_ranker,circ_collision_rate,330.0
lgbm_ranker,q1_gap_pct,474.0
lgbm_ranker,q2_gap_pct,419.0
lgbm_ranker,q2_elimination_margin,318.0
lgbm_ranker,con_xpt_std,579.0
lgbm_ranker,dnf_rate_last10,115.0
lgbm_ranker,avg_fin_last10,391.0
lgbm_ranker,grid_midfield_rank,409.0
