config,lgbm_ranker,rf_reg,ensemble,xgb_clf,xgb_reg,ridge,lgb_reg,xgb_ranker,rf_clf
baseline,14.041666666666666,13.25,12.083333333333334,12.083333333333334,11.833333333333334,11.625,11.083333333333334,10.958333333333334,10.708333333333334
candidate,12.0,13.583333333333334,12.625,13.875,12.166666666666666,11.708333333333334,14.333333333333334,11.5,10.458333333333334
