config,grid_h,cv_pts,holdout_pts,h_delta,status,cv_delta
baseline_v818,0.0,13.458333333333334,13.958333333333334,-0.0016666666666669272,BASELINE,
grid_h_0.25,0.25,13.791666666666666,13.958333333333334,-0.0016666666666669272,REJECTED,0.33333333333333215
grid_h_1.00,1.0,14.208333333333334,13.916666666666666,-0.04333333333333478,REJECTED,0.75
grid_h_2.00,2.0,14.875,13.791666666666666,-0.16833333333333478,REJECTED,1.416666666666666
