config,cv_delta,holdout,h_delta,status
A_lgbm25,0.20833333333333393,13.416666666666666,-0.7933333333333348,REJECTED
B_bal4_3,0.2916666666666661,13.291666666666666,-0.9183333333333348,REJECTED
C_xgb6_boost,-0.2916666666666661,,,REJECTED_CV
D_rfclf25,-0.2916666666666661,,,REJECTED_CV
E_xgbclf1,-0.4166666666666661,,,REJECTED_CV
