test,status,cv_delta,holdout,h_delta
v8.16_team_race_vs_qual,REJECTED,0.08333333333333393,13.541666666666666,-0.16833333333333478
v8.17_circ_race_vs_qual,REJECTED,0.5833333333333339,13.208333333333334,-0.5016666666666669
