feature,version,verdict,d_rf_reg,d_lgb_reg,d_ridge,d_rf_clf,d_xgb_clf,d_avg_reg,d_avg_clf,d_avg_all
circ_collision_rate,v4.03,KEEP,-1.1363636363636367,-0.6363636363636367,0.0,2.0454545454545467,1.7272727272727266,-0.8863636363636367,1.8863636363636367,0.4
drv_overperformance_rate,v4.04,KEEP,1.2727272727272734,2.3181818181818183,-0.09090909090909172,-1.5454545454545467,0.31818181818181834,1.7954545454545459,-0.6136363636363642,0.4545454545454543
circ_p10_grid_chaos,v4.05,DISCARD,-1.045454545454545,-2.6363636363636367,-0.6363636363636349,0.3636363636363633,-0.1363636363636367,-1.8409090909090908,0.11363636363636331,-0.818181818181818
drv_starts_p10_zone_rate,v4.06,DISCARD,-0.45454545454545503,0.0,0.0,-1.1363636363636367,0.0,-0.22727272727272751,-0.5681818181818183,-0.31818181818181834
sc_x_overtaking,v4.07,DISCARD,-0.6363636363636367,-2.8636363636363633,0.18181818181818343,0.8181818181818183,-0.3636363636363633,-1.75,0.22727272727272751,-0.5727272727272723
