phase,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,score,delta
1,500,4,0.03,0.8,0.8,12.875,0.5416666666666661
1,500,4,0.05,0.8,0.8,12.5,0.16666666666666607
1,500,4,0.07,0.8,0.8,13.0,0.6666666666666661
1,500,5,0.03,0.8,0.8,13.291666666666666,0.9583333333333321
1,500,5,0.05,0.8,0.8,12.333333333333334,0.0
1,500,5,0.07,0.8,0.8,12.833333333333334,0.5
1,500,6,0.03,0.8,0.8,12.875,0.5416666666666661
1,500,6,0.05,0.8,0.8,12.583333333333334,0.25
1,500,6,0.07,0.8,0.8,10.958333333333334,-1.375
1,1000,4,0.03,0.8,0.8,13.416666666666666,1.0833333333333321
1,1000,4,0.05,0.8,0.8,12.166666666666666,-0.16666666666666785
1,1000,4,0.07,0.8,0.8,11.5,-0.8333333333333339
1,1000,5,0.03,0.8,0.8,12.666666666666666,0.33333333333333215
1,1000,5,0.05,0.8,0.8,9.458333333333334,-2.875
1,1000,5,0.07,0.8,0.8,9.666666666666666,-2.666666666666668
1,1000,6,0.03,0.8,0.8,12.75,0.4166666666666661
1,1000,6,0.05,0.8,0.8,10.708333333333334,-1.625
1,1000,6,0.07,0.8,0.8,11.291666666666666,-1.0416666666666679
