phase,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,score,delta
2,1000,4,0.03,0.7,0.7,12.458333333333334,0.125
2,1000,4,0.03,0.7,0.9,12.416666666666666,0.08333333333333215
2,1000,4,0.03,0.9,0.7,13.166666666666666,0.8333333333333321
2,1000,4,0.03,0.9,0.9,12.666666666666666,0.33333333333333215
