feature,mean,se,delta
avg_fin_last5_clean,12.75,1.457427254753578,-0.5416666666666661
avg_fin_last3_clean,11.5,1.5568921104168592,-1.791666666666666
dnf_rate_last5,11.25,1.5525224916105151,-2.041666666666666
