,ensemble,lgb_reg,lgbm_ranker,rf_clf,rf_reg,ridge,xgb_clf,xgb_ranker,xgb_reg
ensemble,0.0,0.292,0.083,0.042,0.292,0.167,0.167,0.125,0.167
lgb_reg,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.042,0.0
lgbm_ranker,0.083,0.25,0.0,0.042,0.167,0.125,0.167,0.083,0.208
rf_clf,0.125,0.208,0.208,0.0,0.25,0.208,0.083,0.167,0.208
rf_reg,0.0,0.042,0.083,0.0,0.0,0.0,0.0,0.0,0.042
ridge,0.042,0.125,0.125,0.042,0.125,0.0,0.083,0.083,0.083
xgb_clf,0.0,0.208,0.125,0.042,0.167,0.125,0.0,0.125,0.125
xgb_ranker,0.042,0.167,0.083,0.042,0.167,0.083,0.125,0.0,0.083
xgb_reg,0.042,0.083,0.125,0.042,0.167,0.083,0.042,0.083,0.0
