model,segment_idx,segment,avg_pts,std_pts,n_races,se,ci95_lo,ci95_hi
ensemble,1,T1 (early),11.534090909090908,7.035131649441529,88,0.7499475536584805,10.064193703920287,13.00398811426153
ensemble,2,T2 (mid),11.710843373493976,6.6470791687153055,83,0.7296117260469216,10.28080439044201,13.140882356545942
ensemble,3,T3 (late),11.62962962962963,7.01862601305349,81,0.7798473347837211,10.101128853453536,13.158130405805723
rf_clf,1,T1 (early),11.931818181818182,7.341889660206976,88,0.7826480674799883,10.397827969557405,13.465808394078959
rf_clf,2,T2 (mid),10.55421686746988,6.38071219369252,83,0.7003741521478531,9.181483529260086,11.926950205679672
rf_clf,3,T3 (late),11.703703703703704,7.41020317610193,81,0.82335590845577,10.089926123130395,13.317481284277013
xgb_ranker,1,T1 (early),10.772727272727273,7.534941247476705,88,0.8032274358297352,9.198401498500992,12.347053046953555
xgb_ranker,2,T2 (mid),10.975903614457831,6.8999397374789035,83,0.7573667792578301,9.491464727112485,12.460342501803177
xgb_ranker,3,T3 (late),11.925925925925926,7.7326867545791895,81,0.8591874171754655,10.241918588262013,13.609933263589838
rf_reg,1,T1 (early),10.818181818181818,6.832218223360525,88,0.72831690975916,9.390680675053865,12.245682961309772
rf_reg,2,T2 (mid),10.831325301204819,6.291339919147151,83,0.6905642705687853,9.47781933089,12.184831271519638
rf_reg,3,T3 (late),11.88888888888889,7.531600095597216,81,0.8368444550663574,10.248673756958828,13.52910402081895
ridge,1,T1 (early),10.806818181818182,6.59825465349052,88,0.7033763094104595,9.428200615373681,12.185435748262682
ridge,2,T2 (mid),10.80722891566265,6.725375737667912,83,0.7382058909977361,9.360345369307087,12.254112462018213
ridge,3,T3 (late),11.506172839506172,7.185268708945622,81,0.7983631898828469,9.941380987335792,13.070964691676553
lgb_reg,1,T1 (early),11.715909090909092,7.036765295980889,88,0.7501217009647122,10.245670557018256,13.186147624799927
lgb_reg,2,T2 (mid),10.674698795180722,6.42424605756732,83,0.7051526145005625,9.29259967075962,12.056797919601825
lgb_reg,3,T3 (late),9.938271604938272,6.483335713605199,81,0.7203706348450222,8.526345160642029,11.350198049234516
xgb_clf,1,T1 (early),10.772727272727273,7.046197756330474,88,0.751127204616476,9.30051795167898,12.244936593775567
xgb_clf,2,T2 (mid),10.686746987951807,7.313415189081441,83,0.8027516062268857,9.113353839747111,12.260140136156503
xgb_clf,3,T3 (late),10.679012345679013,6.875367554709033,81,0.7639297283010037,9.181710078209045,12.17631461314898
xgb_reg,1,T1 (early),10.534090909090908,6.521315824555238,88,0.6951746026881775,9.17154868782208,11.896633130359737
xgb_reg,2,T2 (mid),10.939759036144578,6.7595450084836415,83,0.741956455723212,9.485524382927082,12.393993689362073
xgb_reg,3,T3 (late),9.802469135802468,6.382436355120236,81,0.7091595950133596,8.412516329576283,11.192421942028654
