model,segment_idx,segment,avg_pts,std_pts,n_races,se,ci95_lo,ci95_hi
ensemble,1,Q1 (R1–25%),11.338235294117647,6.838456433404513,68,0.8292846526797479,9.712837374865341,12.963633213369953
ensemble,2,Q2 (26–50%),11.081967213114755,7.349138457368576,61,0.9409607582763287,9.23768412689315,12.92625029933636
ensemble,3,Q3 (51–75%),12.859375,6.891142664480415,64,0.8613928330600519,11.171045047202298,14.547704952797702
ensemble,4,Q4 (76–100%),11.169491525423728,6.395452431686239,59,0.8326169873108934,9.537562230294377,12.80142082055308
rf_clf,1,Q1 (R1–25%),12.426470588235293,7.616392722516326,68,0.9236232847388375,10.616168950147172,14.236772226323415
rf_clf,2,Q2 (26–50%),10.655737704918034,6.191082958313621,61,0.7926869453881995,9.102071291957163,12.209404117878904
rf_clf,3,Q3 (51–75%),10.828125,7.304172948412262,64,0.9130216185515327,9.038602627638996,12.617647372361004
rf_clf,4,Q4 (76–100%),11.627118644067796,6.992356183928438,59,0.9103272367756727,9.842877259987477,13.411360028148115
xgb_ranker,1,Q1 (R1–25%),11.5,7.512179165920865,68,0.9109855346957678,9.714468351996295,13.285531648003705
xgb_ranker,2,Q2 (26–50%),9.655737704918034,7.6133331419329515,61,0.974787421382807,7.745154359007731,11.566321050828336
xgb_ranker,3,Q3 (51–75%),12.109375,6.573436654022342,64,0.8216795817527928,10.498883019764527,13.719866980235473
xgb_ranker,4,Q4 (76–100%),11.508474576271187,7.766801323928465,59,1.011151406166668,9.526617820184518,13.490331332357856
rf_reg,1,Q1 (R1–25%),10.632352941176471,6.585611660901376,68,0.7986227202116392,9.067052409561658,12.197653472791284
rf_reg,2,Q2 (26–50%),10.065573770491802,6.657999830927745,61,0.8524695249457374,8.394733501598157,11.736414039385448
rf_reg,3,Q3 (51–75%),12.046875,6.926896479756994,64,0.8658620599696243,10.349785362459537,13.743964637540463
rf_reg,4,Q4 (76–100%),11.966101694915254,7.355425165739243,59,0.957594792128538,10.08921590234332,13.84298748748719
ridge,1,Q1 (R1–25%),10.794117647058824,6.372887589214058,68,0.7728261373681604,9.27937841781723,12.30885687630042
ridge,2,Q2 (26–50%),10.311475409836065,6.5715066349773945,61,0.84139520600083,8.66234080607444,11.960610013597691
ridge,3,Q3 (51–75%),12.015625,7.293163111750839,64,0.9116453889688548,10.228800037621046,13.802449962378954
ridge,4,Q4 (76–100%),10.983050847457626,7.062507919858187,59,0.9194602148797811,9.180908826293255,12.785192868621998
lgb_reg,1,Q1 (R1–25%),11.455882352941176,6.835888228061485,68,0.8289732120357015,9.8310948573512,13.080669848531151
lgb_reg,2,Q2 (26–50%),10.459016393442623,6.694708782543129,61,0.8571696245761788,8.778963929273312,12.139068857611933
lgb_reg,3,Q3 (51–75%),11.65625,6.750000000000001,64,0.8437500000000001,10.0025,13.31
lgb_reg,4,Q4 (76–100%),9.474576271186441,6.314613407784523,59,0.8220926428243761,7.863274691250664,11.085877851122218
xgb_clf,1,Q1 (R1–25%),10.779411764705882,6.858583440696325,68,0.8317254108265631,9.149229959485819,12.409593569925946
xgb_clf,2,Q2 (26–50%),11.131147540983607,7.673494227612489,61,0.9824902590865906,9.20546663317389,13.056828448793324
xgb_clf,3,Q3 (51–75%),10.3125,7.137815681173948,64,0.8922269601467435,8.563735158112383,12.061264841887617
xgb_clf,4,Q4 (76–100%),10.64406779661017,6.6585768176618405,59,0.8668728645735548,8.944996982046002,12.343138611174338
xgb_reg,1,Q1 (R1–25%),10.794117647058824,6.750475546608222,68,0.8186154029945533,9.189631457189499,12.39860383692815
xgb_reg,2,Q2 (26–50%),10.688524590163935,6.975053126695064,61,0.8930640397082267,8.93811907233581,12.438930107992059
xgb_reg,3,Q3 (51–75%),10.78125,5.894492317624961,64,0.7368115397031201,9.337099382181885,12.225400617818115
xgb_reg,4,Q4 (76–100%),9.372881355932204,6.580793121377584,59,0.8567462898622444,7.693658627802205,11.052104084062204
