model,feature,importance
xgb_clf,avg_qual_last3,0.02721157670021057
xgb_clf,dnf_last5,0.022801440209150314
xgb_clf,pts_last3,0.03233787417411804
xgb_clf,circ_avg_fin,0.0238342247903347
xgb_clf,circ_last_fin,0.024480288848280907
xgb_clf,circ_races,0.022043297067284584
xgb_clf,is_street,0.02379767782986164
xgb_clf,race_num,0.022514063864946365
xgb_clf,team_avg_fin_season,0.027513375505805016
xgb_clf,team_avg_qual_season,0.033042095601558685
xgb_clf,teammate_grid,0.02450278401374817
xgb_clf,career_races,0.02423386462032795
xgb_clf,career_avg_fin,0.025995537638664246
xgb_clf,grid_p10_proximity,0.039238572120666504
xgb_clf,drv_p10_zone_rate_last10,0.02698017843067646
xgb_clf,team_p10_zone_rate_season,0.027366043999791145
xgb_clf,circ_p10_zone_rate,0.02514517866075039
xgb_clf,drv_finish_std_last5,0.024602135643363
xgb_clf,midfield_qual_density,0.023292580619454384
xgb_clf,self_grid_displacement,0.02398500218987465
xgb_clf,grid_displacement_behind,0.0246213860809803
xgb_clf,historical_dnf_rate,0.022446492686867714
xgb_clf,overtaking_difficulty,0.02247519977390766
xgb_ranker,grid_position,0.0386597141623497
xgb_ranker,q_gap_pct,0.029629817232489586
xgb_ranker,fp2_position,0.02576582133769989
xgb_ranker,drv_champ_pos,0.02797490730881691
xgb_ranker,drv_champ_pts,0.02735918201506138
xgb_ranker,con_champ_pos,0.028646131977438927
xgb_ranker,con_champ_pts,0.029986727982759476
xgb_ranker,last_race_pos,0.025671914219856262
xgb_ranker,last_dnf,0.021620603278279305
xgb_ranker,last_qual_pos,0.024574417620897293
xgb_ranker,avg_fin_last3,0.026361782103776932
xgb_ranker,avg_fin_last5,0.027063488960266113
xgb_ranker,avg_qual_last3,0.02775323949754238
xgb_ranker,dnf_last5,0.026252808049321175
xgb_ranker,pts_last3,0.03322936221957207
xgb_ranker,circ_avg_fin,0.02477332204580307
xgb_ranker,circ_last_fin,0.02513098530471325
xgb_ranker,circ_races,0.027097657322883606
xgb_ranker,is_street,0.0244002602994442
xgb_ranker,race_num,0.024103162810206413
xgb_ranker,team_avg_fin_season,0.028136681765317917
xgb_ranker,team_avg_qual_season,0.03263368830084801
xgb_ranker,teammate_grid,0.02545158937573433
xgb_ranker,career_races,0.027292996644973755
xgb_ranker,career_avg_fin,0.02790439873933792
xgb_ranker,grid_p10_proximity,0.05712111294269562
xgb_ranker,drv_p10_zone_rate_last10,0.037969689816236496
xgb_ranker,team_p10_zone_rate_season,0.03627872094511986
xgb_ranker,circ_p10_zone_rate,0.026611538603901863
xgb_ranker,drv_finish_std_last5,0.026320291683077812
xgb_ranker,midfield_qual_density,0.025570251047611237
xgb_ranker,self_grid_displacement,0.024736812338232994
xgb_ranker,grid_displacement_behind,0.024735191836953163
xgb_ranker,historical_dnf_rate,0.025421617552638054
xgb_ranker,overtaking_difficulty,0.02776012383401394
lgb_reg,grid_position,323.0
lgb_reg,q_gap_pct,803.0
lgb_reg,fp2_position,354.0
lgb_reg,drv_champ_pos,223.0
lgb_reg,drv_champ_pts,590.0
lgb_reg,con_champ_pos,145.0
lgb_reg,con_champ_pts,676.0
lgb_reg,last_race_pos,402.0
lgb_reg,last_dnf,25.0
lgb_reg,last_qual_pos,402.0
lgb_reg,avg_fin_last3,439.0
lgb_reg,avg_fin_last5,575.0
lgb_reg,avg_qual_last3,567.0
lgb_reg,dnf_last5,98.0
lgb_reg,pts_last3,408.0
lgb_reg,circ_avg_fin,532.0
lgb_reg,circ_last_fin,406.0
lgb_reg,circ_races,180.0
lgb_reg,is_street,35.0
lgb_reg,race_num,320.0
lgb_reg,team_avg_fin_season,694.0
lgb_reg,team_avg_qual_season,696.0
lgb_reg,teammate_grid,414.0
lgb_reg,career_races,722.0
lgb_reg,career_avg_fin,797.0
lgb_reg,grid_p10_proximity,196.0
lgb_reg,drv_p10_zone_rate_last10,274.0
lgb_reg,team_p10_zone_rate_season,594.0
lgb_reg,circ_p10_zone_rate,236.0
lgb_reg,drv_finish_std_last5,745.0
lgb_reg,midfield_qual_density,419.0
lgb_reg,self_grid_displacement,399.0
lgb_reg,grid_displacement_behind,136.0
lgb_reg,historical_dnf_rate,687.0
lgb_reg,overtaking_difficulty,488.0
