cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts,season_frac,half,third,quarter,half_label,third_label,quarter_label
2014,2010,2013,6,rf_clf,button,6,10,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_reg,vergne,17,4,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_clf,button,6,10,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_ranker,bottas,16,6,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,lgb_reg,kevin_magnussen,10,25,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,ensemble,perez,20,0,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,ridge,button,4,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,rf_reg,button,4,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,rf_clf,perez,11,18,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,xgb_reg,button,4,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,xgb_clf,kevin_magnussen,9,18,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,xgb_ranker,button,4,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,lgb_reg,raikkonen,10,25,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,7,ensemble,button,4,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,8,ridge,button,11,18,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,rf_reg,kvyat,20,0,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,rf_clf,grosjean,14,10,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,xgb_reg,raikkonen,10,25,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,xgb_clf,grosjean,14,10,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,xgb_ranker,button,11,18,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,lgb_reg,ricciardo,8,15,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,8,ensemble,perez,6,10,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,ridge,perez,11,18,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,rf_reg,massa,20,0,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,rf_clf,grosjean,12,15,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,xgb_reg,massa,20,0,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,xgb_clf,vergne,10,25,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,xgb_ranker,vergne,10,25,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,lgb_reg,vergne,10,25,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,9,ensemble,vergne,10,25,0.42105263157894735,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,ridge,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,rf_reg,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,rf_clf,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,xgb_reg,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,xgb_clf,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,xgb_ranker,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,lgb_reg,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,10,ensemble,bottas,2,2,0.47368421052631576,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2014,2010,2013,11,ridge,hulkenberg,20,0,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,rf_reg,massa,5,8,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,rf_clf,grosjean,20,0,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,xgb_reg,hamilton,3,4,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,xgb_clf,maldonado,13,12,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,xgb_ranker,maldonado,13,12,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,lgb_reg,vergne,9,18,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,11,ensemble,kevin_magnussen,12,15,0.5263157894736842,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,ridge,kevin_magnussen,12,15,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,rf_reg,raikkonen,4,6,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,rf_clf,perez,8,15,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,xgb_reg,kvyat,9,18,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,xgb_clf,grosjean,20,0,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,xgb_ranker,sutil,14,10,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
