lgb_reg,lgbm_ranker,rf_clf,rf_reg,ridge,xgb_clf,xgb_ranker,xgb_reg
2.5734916591799503e-20,5.3316441169802443e-17,5.6557165490431e-17,7.060215981042953e-30,1.2783220477294763e-20,0.9999999999999978,2.3214842927644333e-15,4.642508528675136e-20
3.096726283378306e-48,5.4897265679200225e-42,0.9999999999999998,2.5219010313329168e-138,3.8558293819602924e-42,1.5950482881880785e-52,2.450064543974941e-16,1.8067369685024952e-40
3.8542739379911673e-22,1.2024691093729249e-18,1.0,4.701347460368713e-25,2.196261758073695e-23,3.843036688221254e-22,4.3002829495330255e-22,4.5547169869040064e-29
1.340300504975183e-26,1.0,8.015601646935416e-21,1.5392384434091442e-19,1.5641138371157038e-18,2.3574487280633303e-19,1.4166863026788475e-19,1.7180570867729388e-18
1.5033298696110722e-16,1.1969825835143526e-18,2.5544627110137463e-18,1.4068506315121129e-18,7.159767495791128e-22,6.366472227999502e-18,0.9999999999999998,6.922283769477626e-23
7.298391371667152e-79,6.7287723948640524e-18,1.0,2.1865219271291797e-111,5.0880125129717795e-31,1.7188583016161471e-18,2.7683673261964436e-29,1.5809692951457513e-33
1.564702078244101e-19,9.484516291365544e-20,1.0197007607011499e-17,4.703394029208974e-20,2.7747219422641676e-29,0.9999999999999998,1.9445739229476167e-18,1.62860287365168e-16
9.726888734477859e-24,1.094645056006533e-25,1.0,1.5756133232526734e-27,4.4883597873790946e-23,9.098348418887345e-18,1.1701289037736788e-23,6.48563784802902e-25
2.520554324565243e-32,3.908585577632378e-19,0.9999999999999998,8.760292363061239e-74,7.389112930768404e-66,6.478726782965933e-18,2.9482276888302914e-16,3.116187983829566e-28
7.384515894759221e-16,6.715938160473977e-25,8.921957334693163e-33,2.57371558172762e-69,3.1949787576532774e-48,0.9999999999999993,2.3544083948718264e-19,4.238512276456402e-23
5.481200731534188e-27,0.9999999999999998,4.3222872321836483e-29,1.631869824644204e-29,9.753376764983383e-31,1.5151145473636506e-16,3.2660204663229295e-24,1.1777067157579158e-32
0.0,9.82144797692809e-205,0.9999999999999998,0.0,3.1456913177476636e-16,8.855225458472317e-127,8.330209287736012e-42,6.1849299421305376e-204
5.151985639217395e-17,2.4867030848880625e-20,1.0,1.853208304444782e-30,3.2486941830227465e-26,5.618942159494267e-29,1.4854134688508948e-30,4.9313349112786104e-30
1.1102352985628832e-19,3.4880260719456036e-18,3.55540386342441e-18,1.0987617665918358e-22,1.8391198893490432e-17,5.757407584762921e-18,1.0,9.488315890885968e-26
7.876149145969545e-15,0.9999999999999922,4.150146756403631e-74,1.2992798058698507e-109,3.3533937326138086e-91,1.737972219403956e-72,3.958967896302636e-58,0.0
1.4005911639417416e-32,1.8188107813849364e-30,1.0,9.649397965194184e-43,1.4804197232186475e-62,3.1498757409524507e-35,5.09796889118365e-23,1.3326364282750877e-18
3.37491788196193e-17,2.0607872799240411e-19,1.0,1.90712921447711e-27,3.7074189172661837e-19,3.7841241415517106e-42,1.859666499212594e-40,3.5213530678637284e-36
3.0008443374915564e-20,5.642250282242113e-18,0.9999999999999971,8.168283417249567e-22,3.1861940531398522e-21,1.2175807836615746e-19,2.8136421644347458e-15,5.247973521410179e-20
7.100005198143722e-24,3.35586854647737e-18,0.9999999999999993,2.157273467592355e-24,1.9930993200268997e-16,3.022383957732361e-18,4.147461738529339e-16,1.4527415470087604e-18
0.0,8.614521644433888e-18,1.0,5.35574181553434e-133,3.7916535010467256e-93,9.422057875545722e-132,1.6954979586781818e-43,0.0
4.828471397433168e-30,6.210908999321264e-32,0.9999999999999996,1.7853022873283297e-32,1.2604626675540123e-27,8.880100568963433e-25,5.060250476949157e-16,3.9013897732083876e-139
2.3933813092935107e-16,2.3100910489633473e-17,3.686222267445128e-16,9.338337955360282e-19,1.5607117026417312e-16,0.9999999999999991,6.279941362036786e-20,8.249504177646764e-17
5.379300221461193e-26,2.476554100994329e-26,5.272809479050347e-16,4.86580127875529e-20,5.566422646844533e-17,0.9999999999999996,5.3170315568704236e-18,1.3141203546264162e-32
1.4555915120207987e-18,5.061795396937949e-20,1.3524642254945301e-19,1.6797671006247266e-31,5.585355356582396e-36,2.352836287411872e-16,0.9999999999999998,5.890796933184567e-22
1.6831512313542392e-56,8.168577036078104e-272,1.0,5.137247747004232e-34,2.0678248011545056e-64,4.4052881988040675e-17,2.9457037437920183e-49,2.1699418774723446e-53
5.17669304906296e-19,8.181187532698807e-21,1.0,1.6593679891491413e-22,1.0142431236423088e-16,6.940045314666969e-19,2.8259242688896476e-20,1.7910053344221814e-26
4.1439805093231986e-38,3.925977015136334e-36,2.8579335360874223e-18,5.796439654689715e-87,4.316848137079857e-39,4.3049889534759384e-30,1.0,7.117777427672438e-32
1.6091421958246017e-20,2.8737380628882505e-16,0.9999999999999998,4.3260093416050064e-19,1.789084150752684e-24,1.3534301563766848e-18,2.6267199094322767e-19,3.848708879558795e-20
1.4851891157497307e-22,3.3737474252508135e-18,0.9999999999999993,2.6892198224471274e-22,1.0667823601565366e-18,3.514974723320739e-17,1.1409214327491889e-18,6.934474643882883e-16
8.190805906089905e-199,1.0,1.0339341065113579e-42,4.301466863475315e-34,3.38569266932303e-23,8.07335265455604e-18,7.02155789776983e-35,2.201129142750104e-91
