test,status,cv_delta,holdout,h_delta
v8.19_circ_experience_rate,REJECTED_CV,-0.4583333333333339,,
v8.20_circ_race_vs_qual,REJECTED,0.4166666666666661,13.583333333333334,-0.3766666666666669
