config,lgbm_ranker,rf_reg,xgb_clf,xgb_reg,ensemble,ridge,lgb_reg,xgb_ranker,rf_clf
baseline,14.041666666666666,13.25,12.083333333333334,11.833333333333334,11.791666666666666,11.625,11.083333333333334,10.958333333333334,10.708333333333334
candidate,12.958333333333334,13.083333333333334,13.291666666666666,10.541666666666666,12.333333333333334,13.125,10.291666666666666,10.916666666666666,12.916666666666666
