circuit_id,year,collision_dnf_rate,n_starts
sepang,2012,0.041666666666666664,24
sepang,2013,0.045454545454545456,22
sepang,2014,0.0,22
sepang,2015,0.05,20
sepang,2016,0.0,22
sepang,2017,0.0,20
shanghai,2010,0.0,24
shanghai,2011,0.0,24
shanghai,2012,0.0,24
shanghai,2013,0.09090909090909091,22
shanghai,2014,0.0,22
shanghai,2015,0.0,20
shanghai,2016,0.0,22
shanghai,2017,0.0,20
shanghai,2018,0.0,20
shanghai,2019,0.05,20
shanghai,2024,0.15,20
silverstone,2010,0.041666666666666664,24
silverstone,2011,0.041666666666666664,24
silverstone,2012,0.041666666666666664,24
silverstone,2013,0.0,22
silverstone,2014,0.045454545454545456,22
silverstone,2015,0.0,20
silverstone,2016,0.13636363636363635,22
silverstone,2017,0.0,20
silverstone,2018,0.15,20
silverstone,2019,0.15,20
silverstone,2020,0.05,40
silverstone,2021,0.05,20
silverstone,2022,0.05,20
silverstone,2023,0.0,20
silverstone,2024,0.0,20
sochi,2014,0.0,21
sochi,2015,0.05,20
sochi,2016,0.0,22
sochi,2017,0.0,20
sochi,2018,0.0,20
sochi,2019,0.05,20
sochi,2020,0.0,20
sochi,2021,0.0,20
spa,2010,0.125,24
spa,2011,0.041666666666666664,24
spa,2012,0.08333333333333333,24
spa,2013,0.045454545454545456,22
spa,2014,0.09090909090909091,22
spa,2015,0.0,20
spa,2016,0.045454545454545456,22
spa,2017,0.0,20
spa,2018,0.05,20
spa,2019,0.0,20
spa,2020,0.05,20
spa,2021,0.0,20
spa,2022,0.0,20
spa,2023,0.05,20
spa,2024,0.05,20
suzuka,2010,0.0,24
suzuka,2011,0.0,24
suzuka,2012,0.041666666666666664,24
suzuka,2013,0.0,22
suzuka,2014,0.045454545454545456,22
suzuka,2015,0.05,20
suzuka,2016,0.0,22
suzuka,2017,0.05,20
suzuka,2018,0.05,20
suzuka,2019,0.0,20
suzuka,2022,0.0,20
suzuka,2023,0.2,20
suzuka,2024,0.0,20
vegas,2023,0.0,20
vegas,2024,0.0,20
villeneuve,2010,0.0,24
villeneuve,2011,0.20833333333333334,24
villeneuve,2012,0.0,24
villeneuve,2013,0.09090909090909091,22
