config,lgbm_ranker,rf_reg,ensemble,xgb_clf,xgb_reg,ridge,lgb_reg,xgb_ranker,rf_clf
baseline,14.041666666666666,13.25,12.083333333333334,12.083333333333334,11.833333333333334,11.625,11.083333333333334,10.958333333333334,10.708333333333334
candidate,13.291666666666666,13.25,14.25,13.875,12.208333333333334,11.625,8.708333333333334,11.625,10.208333333333334
