removed,n_features,mean,se,delta,se_change,flag,base_mean,base_se
drv_dnf_recovery_rate,49,11.0,1.4282349500217983,-2.291666666666666,0.018538756692213276,,13.291666666666666,1.409696193329585
is_street,49,13.125,1.4030408229002598,-0.16666666666666607,-0.006655370429325291,,13.291666666666666,1.409696193329585
last_dnf,49,11.416666666666666,1.5798971103293573,-1.875,0.17020091699977224,,13.291666666666666,1.409696193329585
all_3_combined,47,11.583333333333334,1.3882486447019888,-1.7083333333333321,-0.021447548627596236,,13.291666666666666,1.409696193329585
