feature,description,rf_reg_baseline,rf_reg_with,rf_reg_delta,lgb_reg_baseline,lgb_reg_with,lgb_reg_delta,rf_clf_baseline,rf_clf_with,rf_clf_delta,xgb_clf_baseline,xgb_clf_with,xgb_clf_delta,avg_reg_delta,avg_clf_delta,avg_all_delta,accepted,reason
grid_penalty_delta,Actual race grid − qualifying position. +ve = penalty applied; −ve = promoted.,3.875,3.875,0.0,4.833,4.5,-0.333,12.0,12.375,0.375,11.042,12.5,1.458,-0.167,0.917,0.375,False,"REJECT — avg_reg=-0.167, avg_clf=+0.917, avg_all=+0.375"
qual_session_reached,Ordinal 1/2/3 = Q1/Q2/Q3 elimination stage.,3.875,3.875,0.0,4.833,3.917,-0.917,12.0,12.083,0.083,11.042,11.833,0.792,-0.458,0.438,-0.01,False,"REJECT — avg_reg=-0.458, avg_clf=+0.438, avg_all=-0.010"
q2_gap_pct,Driver's Q2 lap time gap to pole (%). Most informative for P8–P15 starters.,3.875,3.583,-0.292,4.833,5.208,0.375,12.0,13.0,1.0,11.042,10.5,-0.542,0.042,0.229,0.135,True,"ACCEPT — clf strong (clf=+0.229), reg acceptable (reg=+0.042)"
q1_gap_pct,Driver's Q1 lap time gap to pole (%). Available for all drivers.,3.875,3.958,0.083,4.833,5.0,0.167,12.0,12.792,0.792,11.042,11.792,0.75,0.125,0.771,0.448,True,"ACCEPT — both families positive (reg=+0.125, clf=+0.771)"
q2_to_q1_delta,Q1→Q2 improvement (% pts relative to pole). Positive = driver improved.,3.875,3.583,-0.292,4.833,4.333,-0.5,12.0,14.042,2.042,11.042,13.25,2.208,-0.396,2.125,0.865,False,"REJECT — avg_reg=-0.396, avg_clf=+2.125, avg_all=+0.865"
q3_to_q2_delta,Q2→Q3 improvement (% pts). Positive = extracted more pace in Q3. Q3 only.,3.875,3.208,-0.667,4.833,4.333,-0.5,12.0,12.458,0.458,11.042,11.625,0.583,-0.583,0.521,-0.031,False,"REJECT — avg_reg=-0.583, avg_clf=+0.521, avg_all=-0.031"
q2_elimination_margin,How far Q2-eliminated driver was from Q3 cut (%). 0 for Q3/Q1 drivers.,3.875,3.875,0.0,4.833,4.833,0.0,12.0,12.417,0.417,11.042,11.875,0.833,0.0,0.625,0.312,True,"ACCEPT — clf strong (clf=+0.625), reg acceptable (reg=+0.000)"
