feature,description,rf_reg_baseline,rf_reg_with,rf_reg_delta,lgb_reg_baseline,lgb_reg_with,lgb_reg_delta,rf_clf_baseline,rf_clf_with,rf_clf_delta,xgb_clf_baseline,xgb_clf_with,xgb_clf_delta,avg_reg_delta,avg_clf_delta,avg_all_delta,accepted,reason
fp2_base_pace_delta,Driver's FP2 best long-run intercept minus session median (sec). Negative = faster than session median. Proxy for race pace potential.,3.958,3.542,-0.417,5.042,4.625,-0.417,12.208,12.042,-0.167,12.292,11.5,-0.792,-0.417,-0.479,-0.448,False,"REJECT — avg_reg=-0.417, avg_clf=-0.479, avg_all=-0.448"
fp2_degradation_rate,Slope of LapTime ~ LapNumber for driver's best FP2 long-run stint (sec/lap). Positive = tyre deg; near-zero = consistent. Proxy for race strategy.,3.958,3.958,0.0,5.042,5.583,0.542,12.208,10.958,-1.25,12.292,12.042,-0.25,0.271,-0.75,-0.24,False,"REJECT — avg_reg=+0.271, avg_clf=-0.750, avg_all=-0.240"
fp2_long_run_laps,Number of laps in driver's qualifying FP2 long-run stint (0 if no long run). Proxy for how seriously driver ran race simulation in FP2.,3.958,3.958,0.0,5.042,5.583,0.542,12.208,12.042,-0.167,12.292,11.458,-0.833,0.271,-0.5,-0.115,False,"REJECT — avg_reg=+0.271, avg_clf=-0.500, avg_all=-0.115"
