feature,description,rf_reg_baseline,rf_reg_with,rf_reg_delta,lgb_reg_baseline,lgb_reg_with,lgb_reg_delta,rf_clf_baseline,rf_clf_with,rf_clf_delta,xgb_clf_baseline,xgb_clf_with,xgb_clf_delta,avg_reg_delta,avg_clf_delta,avg_all_delta,accepted,reason
con_xpt_relative_median,Median of (stop_duration - race_median) over last 10 races for this constructor (sec). Negative = faster than field. Proxy for undercut/overcut potential.,3.958,3.958,0.0,5.042,6.042,1.0,12.208,11.792,-0.417,12.292,9.958,-2.333,0.5,-1.375,-0.438,False,"REJECT — avg_reg=+0.500, avg_clf=-1.375, avg_all=-0.438"
con_xpt_std,Mean std dev of pit stop durations per race over last 10 races (sec). Lower = more consistent pit crew. Proxy for reliability of execution.,3.958,3.958,0.0,5.042,5.375,0.333,12.208,13.042,0.833,12.292,11.333,-0.958,0.167,-0.062,0.052,True,"ACCEPT — reg strong (reg=+0.167), clf acceptable (clf=-0.062)"
