cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2014,2010,2013,11,MID,rf_reg,ricciardo,1,1
2014,2010,2013,11,MID,rf_clf,grosjean,20,0
2014,2010,2013,11,MID,xgb_reg,raikkonen,6,10
2014,2010,2013,11,MID,xgb_clf,maldonado,13,12
2014,2010,2013,11,MID,xgb_ranker,grosjean,20,0
2014,2010,2013,11,MID,lgb_reg,button,10,25
2014,2010,2013,11,MID,lgbm_ranker,grosjean,20,0
2014,2010,2013,11,MID,ensemble,grosjean,20,0
2014,2010,2013,12,MID,ridge,perez,8,15
2014,2010,2013,12,MID,rf_reg,button,6,10
2014,2010,2013,12,MID,rf_clf,perez,8,15
2014,2010,2013,12,MID,xgb_reg,massa,13,12
2014,2010,2013,12,MID,xgb_clf,vergne,11,18
2014,2010,2013,12,MID,xgb_ranker,perez,8,15
2014,2010,2013,12,MID,lgb_reg,kvyat,9,18
2014,2010,2013,12,MID,lgbm_ranker,grosjean,20,0
2014,2010,2013,12,MID,ensemble,perez,8,15
2014,2010,2013,13,MID,ridge,raikkonen,9,18
2014,2010,2013,13,MID,rf_reg,raikkonen,9,18
2014,2010,2013,13,MID,rf_clf,perez,7,12
2014,2010,2013,13,MID,xgb_reg,alonso,20,0
2014,2010,2013,13,MID,xgb_clf,kvyat,11,18
2014,2010,2013,13,MID,xgb_ranker,perez,7,12
2014,2010,2013,13,MID,lgb_reg,button,8,15
2014,2010,2013,13,MID,lgbm_ranker,grosjean,16,6
2014,2010,2013,13,MID,ensemble,perez,7,12
2014,2010,2013,14,MID,ridge,hulkenberg,9,18
2014,2010,2013,14,MID,rf_reg,perez,7,12
2014,2010,2013,14,MID,rf_clf,vergne,6,10
2014,2010,2013,14,MID,xgb_reg,raikkonen,8,15
2014,2010,2013,14,MID,xgb_clf,maldonado,12,15
2014,2010,2013,14,MID,xgb_ranker,hulkenberg,9,18
2014,2010,2013,14,MID,lgb_reg,grosjean,13,12
2014,2010,2013,14,MID,lgbm_ranker,vergne,6,10
2014,2010,2013,14,MID,ensemble,hulkenberg,9,18
2014,2010,2013,15,MID,ridge,kevin_magnussen,14,10
2014,2010,2013,15,MID,rf_reg,kevin_magnussen,14,10
2014,2010,2013,15,MID,rf_clf,hulkenberg,8,15
2014,2010,2013,15,MID,xgb_reg,ricciardo,4,6
2014,2010,2013,15,MID,xgb_clf,grosjean,15,8
2014,2010,2013,15,MID,xgb_ranker,hulkenberg,8,15
2014,2010,2013,15,MID,lgb_reg,bottas,6,10
2014,2010,2013,15,MID,lgbm_ranker,grosjean,15,8
2014,2010,2013,15,MID,ensemble,kevin_magnussen,14,10
2014,2010,2013,16,LATE,ridge,massa,11,18
2014,2010,2013,16,LATE,rf_reg,kevin_magnussen,5,8
2014,2010,2013,16,LATE,rf_clf,vergne,13,12
2014,2010,2013,16,LATE,xgb_reg,perez,10,25
2014,2010,2013,16,LATE,xgb_clf,grosjean,17,4
2014,2010,2013,16,LATE,xgb_ranker,grosjean,17,4
2014,2010,2013,16,LATE,lgb_reg,kevin_magnussen,5,8
2014,2010,2013,16,LATE,lgbm_ranker,vergne,13,12
2014,2010,2013,16,LATE,ensemble,vergne,13,12
2014,2010,2013,17,LATE,ridge,kevin_magnussen,8,15
2014,2010,2013,17,LATE,rf_reg,raikkonen,13,12
2014,2010,2013,17,LATE,rf_clf,vergne,10,25
2014,2010,2013,17,LATE,xgb_reg,alonso,6,10
2014,2010,2013,17,LATE,xgb_clf,grosjean,11,18
2014,2010,2013,17,LATE,xgb_ranker,vergne,10,25
2014,2010,2013,17,LATE,lgb_reg,raikkonen,13,12
2014,2010,2013,17,LATE,lgbm_ranker,ricciardo,3,4
2014,2010,2013,17,LATE,ensemble,raikkonen,13,12
2014,2010,2013,18,LATE,ridge,raikkonen,7,12
2014,2010,2013,18,LATE,rf_reg,kevin_magnussen,9,18
2014,2010,2013,18,LATE,rf_clf,vergne,13,12
2014,2010,2013,18,LATE,xgb_reg,button,4,6
2014,2010,2013,18,LATE,xgb_clf,kvyat,11,18
2014,2010,2013,18,LATE,xgb_ranker,kvyat,11,18
2014,2010,2013,18,LATE,lgb_reg,button,4,6
