feature,importance
grid_position,0.531872417469182
team_avg_qual_season,0.09004915530637354
drv_champ_pos,0.044003347178230186
grid_p10_proximity,0.03911698489531929
con_champ_pos,0.029926787337568223
team_avg_fin_season,0.029359003221549787
career_avg_fin,0.02436107177258492
q_gap_pct,0.020541218642318112
wind_max_kmh,0.015988475898636206
temp_max_c,0.014767261021460141
drv_champ_pts,0.013364672697436575
avg_qual_last3,0.01241817579381556
avg_fin_last5,0.012264191361549458
drv_finish_std_last5,0.01149686391395085
con_champ_pts,0.010561235926849587
pts_last3,0.010442486913584747
career_races,0.009215903801354793
circ_avg_fin,0.008452435260999494
avg_fin_last3,0.008085446119182198
teammate_grid,0.008045260059199437
team_p10_zone_rate_season,0.007573691434048497
circ_last_fin,0.007422069192696213
midfield_qual_density,0.006550856372231636
last_race_pos,0.00647341656899423
last_qual_pos,0.005723232852614062
race_num,0.005373172344301535
circ_p10_zone_rate,0.004143223556181966
drv_p10_zone_rate_last10,0.003946686190452725
circ_races,0.00257541765379349
rain_category,0.002013586044698575
is_street,0.0012740836136960886
dnf_last5,0.0010537182341057284
chaos_index,0.0007824994728220152
is_wet_race,0.0005592277782772838
last_dnf,0.00020272409994075095
