eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_baseline_v62,2024,8,xgb_clf,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,xgb_ranker,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,lgb_reg,perez,18,2,baseline_v62
cv_baseline_v62,2024,8,lgbm_ranker,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,ensemble,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,ensemble_test,gasly,10,25,baseline_v62
cv_baseline_v62,2024,9,ridge,perez,18,2,baseline_v62
cv_baseline_v62,2024,9,rf_reg,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,rf_clf,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,xgb_reg,sainz,16,6,baseline_v62
cv_baseline_v62,2024,9,xgb_clf,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,xgb_ranker,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,lgb_reg,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,9,lgbm_ranker,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,ensemble,stroll,7,12,baseline_v62
cv_baseline_v62,2024,9,ensemble_test,stroll,7,12,baseline_v62
cv_baseline_v62,2024,10,ridge,gasly,9,18,baseline_v62
cv_baseline_v62,2024,10,rf_reg,gasly,9,18,baseline_v62
cv_baseline_v62,2024,10,rf_clf,stroll,14,10,baseline_v62
cv_baseline_v62,2024,10,xgb_reg,gasly,9,18,baseline_v62
cv_baseline_v62,2024,10,xgb_clf,ocon,10,25,baseline_v62
cv_baseline_v62,2024,10,xgb_ranker,ocon,10,25,baseline_v62
cv_baseline_v62,2024,10,lgb_reg,piastri,7,12,baseline_v62
cv_baseline_v62,2024,10,lgbm_ranker,ocon,10,25,baseline_v62
cv_baseline_v62,2024,10,ensemble,ocon,10,25,baseline_v62
cv_baseline_v62,2024,10,ensemble_test,ocon,10,25,baseline_v62
cv_baseline_v62,2024,11,ridge,hulkenberg,6,10,baseline_v62
cv_baseline_v62,2024,11,rf_reg,hulkenberg,6,10,baseline_v62
cv_baseline_v62,2024,11,rf_clf,ricciardo,9,18,baseline_v62
cv_baseline_v62,2024,11,xgb_reg,piastri,2,2,baseline_v62
cv_baseline_v62,2024,11,xgb_clf,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,11,xgb_ranker,stroll,13,12,baseline_v62
cv_baseline_v62,2024,11,lgb_reg,piastri,2,2,baseline_v62
cv_baseline_v62,2024,11,lgbm_ranker,stroll,13,12,baseline_v62
cv_baseline_v62,2024,11,ensemble,ricciardo,9,18,baseline_v62
cv_baseline_v62,2024,11,ensemble_test,stroll,13,12,baseline_v62
cv_baseline_v62,2024,12,ridge,hulkenberg,6,10,baseline_v62
cv_baseline_v62,2024,12,rf_reg,perez,17,4,baseline_v62
cv_baseline_v62,2024,12,rf_clf,alonso,8,15,baseline_v62
cv_baseline_v62,2024,12,xgb_reg,piastri,4,6,baseline_v62
cv_baseline_v62,2024,12,xgb_clf,albon,9,18,baseline_v62
cv_baseline_v62,2024,12,xgb_ranker,stroll,7,12,baseline_v62
cv_baseline_v62,2024,12,lgb_reg,perez,17,4,baseline_v62
cv_baseline_v62,2024,12,lgbm_ranker,stroll,7,12,baseline_v62
cv_baseline_v62,2024,12,ensemble,stroll,7,12,baseline_v62
cv_baseline_v62,2024,12,ensemble_test,stroll,7,12,baseline_v62
cv_baseline_v62,2024,13,ridge,stroll,10,25,baseline_v62
cv_baseline_v62,2024,13,rf_reg,russell,8,15,baseline_v62
cv_baseline_v62,2024,13,rf_clf,hulkenberg,13,12,baseline_v62
cv_baseline_v62,2024,13,xgb_reg,ricciardo,12,15,baseline_v62
cv_baseline_v62,2024,13,xgb_clf,stroll,10,25,baseline_v62
cv_baseline_v62,2024,13,xgb_ranker,tsunoda,9,18,baseline_v62
cv_baseline_v62,2024,13,lgb_reg,leclerc,4,6,baseline_v62
cv_baseline_v62,2024,13,lgbm_ranker,bottas,16,6,baseline_v62
cv_baseline_v62,2024,13,ensemble,tsunoda,9,18,baseline_v62
cv_baseline_v62,2024,13,ensemble_test,tsunoda,9,18,baseline_v62
cv_baseline_v62,2024,14,ridge,alonso,8,15,baseline_v62
cv_baseline_v62,2024,14,rf_reg,alonso,8,15,baseline_v62
cv_baseline_v62,2024,14,rf_clf,ricciardo,10,25,baseline_v62
cv_baseline_v62,2024,14,xgb_reg,alonso,8,15,baseline_v62
cv_baseline_v62,2024,14,xgb_clf,stroll,11,18,baseline_v62
cv_baseline_v62,2024,14,xgb_ranker,tsunoda,16,6,baseline_v62
cv_baseline_v62,2024,14,lgb_reg,piastri,2,2,baseline_v62
cv_baseline_v62,2024,14,lgbm_ranker,stroll,11,18,baseline_v62
cv_baseline_v62,2024,14,ensemble,stroll,11,18,baseline_v62
cv_baseline_v62,2024,14,ensemble_test,tsunoda,16,6,baseline_v62
cv_baseline_v62,2024,15,ridge,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,rf_reg,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,rf_clf,tsunoda,17,4,baseline_v62
cv_baseline_v62,2024,15,xgb_reg,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,xgb_clf,tsunoda,17,4,baseline_v62
cv_baseline_v62,2024,15,xgb_ranker,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,lgb_reg,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,lgbm_ranker,stroll,13,12,baseline_v62
cv_baseline_v62,2024,15,ensemble,tsunoda,17,4,baseline_v62
cv_baseline_v62,2024,15,ensemble_test,stroll,13,12,baseline_v62
cv_baseline_v62,2024,16,ridge,alonso,11,18,baseline_v62
cv_baseline_v62,2024,16,rf_reg,alonso,11,18,baseline_v62
cv_baseline_v62,2024,16,rf_clf,alonso,11,18,baseline_v62
cv_baseline_v62,2024,16,xgb_reg,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,16,xgb_clf,tsunoda,20,0,baseline_v62
cv_baseline_v62,2024,16,xgb_ranker,tsunoda,20,0,baseline_v62
cv_baseline_v62,2024,16,lgb_reg,hulkenberg,17,4,baseline_v62
cv_baseline_v62,2024,16,lgbm_ranker,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,16,ensemble,tsunoda,20,0,baseline_v62
cv_baseline_v62,2024,16,ensemble_test,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,17,ridge,alonso,6,10,baseline_v62
cv_baseline_v62,2024,17,rf_reg,bearman,10,25,baseline_v62
cv_baseline_v62,2024,17,rf_clf,stroll,19,1,baseline_v62
cv_baseline_v62,2024,17,xgb_reg,alonso,6,10,baseline_v62
cv_baseline_v62,2024,17,xgb_clf,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,17,xgb_ranker,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,17,lgb_reg,alonso,6,10,baseline_v62
cv_baseline_v62,2024,17,lgbm_ranker,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,17,ensemble,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,17,ensemble_test,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,18,ridge,alonso,8,15,baseline_v62
cv_baseline_v62,2024,18,rf_reg,hulkenberg,9,18,baseline_v62
cv_baseline_v62,2024,18,rf_clf,albon,20,0,baseline_v62
