model,n_driver_rows,n_races,brier,log_loss,ece_10bin,top_pick_hit_rate,avg_top_pick_prob
rf_clf,479,24,0.04674358598625324,0.19314337256473332,0.006320029964555494,0.125,0.12259179374928096
xgb_clf,479,24,0.047294157206238405,0.19547260323964838,0.001815672885899964,0.125,0.1037864321999701
