model,n_races,mean_actual_p10_rank,median_actual_p10_rank,top1_hit_rate,mean_ndcg_at_5
ensemble,24,9.166666666666666,10.0,0.08333333333333333,0.18358336420739882
lgbm_ranker,24,9.291666666666666,9.0,0.08333333333333333,0.1802757110809826
xgb_ranker,24,9.291666666666666,10.0,0.125,0.18858259592050194
