model,year,round,race_name,driver_id,p10_prob,is_actual_p10
xgb_clf,2025,2,Chinese Grand Prix,hulkenberg,0.05904429936781974,0
xgb_clf,2025,2,Chinese Grand Prix,tsunoda,0.05368659337155616,0
xgb_clf,2025,2,Chinese Grand Prix,alonso,0.09017046372793684,0
xgb_clf,2025,2,Chinese Grand Prix,leclerc,0.03474092729956555,0
xgb_clf,2025,2,Chinese Grand Prix,hamilton,0.0545069401338867,0
xgb_clf,2025,2,Chinese Grand Prix,gasly,0.048029284054897425,0
rf_clf,2025,3,Japanese Grand Prix,max_verstappen,0.0,0
rf_clf,2025,3,Japanese Grand Prix,norris,0.0,0
rf_clf,2025,3,Japanese Grand Prix,piastri,0.008656689064512132,0
rf_clf,2025,3,Japanese Grand Prix,leclerc,0.02996534812456434,0
rf_clf,2025,3,Japanese Grand Prix,russell,0.0028093496659117,0
rf_clf,2025,3,Japanese Grand Prix,antonelli,0.01737979497308704,0
rf_clf,2025,3,Japanese Grand Prix,hamilton,0.05992133751399202,0
rf_clf,2025,3,Japanese Grand Prix,hadjar,0.06844383120347032,0
rf_clf,2025,3,Japanese Grand Prix,albon,0.07443985442211308,0
rf_clf,2025,3,Japanese Grand Prix,bearman,0.13237485673702423,1
rf_clf,2025,3,Japanese Grand Prix,alonso,0.0829236138908421,0
rf_clf,2025,3,Japanese Grand Prix,tsunoda,0.09888189509089593,0
rf_clf,2025,3,Japanese Grand Prix,gasly,0.08318282387604851,0
rf_clf,2025,3,Japanese Grand Prix,sainz,0.07762026854172129,0
rf_clf,2025,3,Japanese Grand Prix,doohan,0.009860168268563294,0
rf_clf,2025,3,Japanese Grand Prix,hulkenberg,0.06908483429753828,0
rf_clf,2025,3,Japanese Grand Prix,lawson,0.08262149755398504,0
rf_clf,2025,3,Japanese Grand Prix,ocon,0.06390788416958082,0
rf_clf,2025,3,Japanese Grand Prix,bortoleto,0.04433805566767807,0
rf_clf,2025,3,Japanese Grand Prix,stroll,0.055111354828747,0
xgb_clf,2025,3,Japanese Grand Prix,max_verstappen,0.02542663025575642,0
xgb_clf,2025,3,Japanese Grand Prix,norris,0.02373748458095936,0
xgb_clf,2025,3,Japanese Grand Prix,piastri,0.03336092837059133,0
xgb_clf,2025,3,Japanese Grand Prix,leclerc,0.03811219869761549,0
xgb_clf,2025,3,Japanese Grand Prix,russell,0.036050873255809524,0
xgb_clf,2025,3,Japanese Grand Prix,antonelli,0.0432336615830607,0
xgb_clf,2025,3,Japanese Grand Prix,hamilton,0.04822233832534532,0
xgb_clf,2025,3,Japanese Grand Prix,hadjar,0.04880159598896988,0
xgb_clf,2025,3,Japanese Grand Prix,albon,0.07192130485778844,0
xgb_clf,2025,3,Japanese Grand Prix,bearman,0.07252327129117032,1
xgb_clf,2025,3,Japanese Grand Prix,alonso,0.04648670609733132,0
xgb_clf,2025,3,Japanese Grand Prix,tsunoda,0.07735814762152107,0
xgb_clf,2025,3,Japanese Grand Prix,gasly,0.049160007071521974,0
xgb_clf,2025,3,Japanese Grand Prix,sainz,0.04799793649134258,0
xgb_clf,2025,3,Japanese Grand Prix,doohan,0.03773236757713325,0
xgb_clf,2025,3,Japanese Grand Prix,hulkenberg,0.045774113934315915,0
xgb_clf,2025,3,Japanese Grand Prix,lawson,0.06599369257293171,0
xgb_clf,2025,3,Japanese Grand Prix,ocon,0.04528287079089831,0
xgb_clf,2025,3,Japanese Grand Prix,bortoleto,0.03928267310301212,0
xgb_clf,2025,3,Japanese Grand Prix,stroll,0.048725551662943886,0
rf_clf,2025,4,Bahrain Grand Prix,piastri,0.0,0
rf_clf,2025,4,Bahrain Grand Prix,russell,0.0020479525819360536,0
rf_clf,2025,4,Bahrain Grand Prix,norris,0.0027721405445168953,0
rf_clf,2025,4,Bahrain Grand Prix,leclerc,0.011540214566425927,0
rf_clf,2025,4,Bahrain Grand Prix,hamilton,0.06240995623177783,0
rf_clf,2025,4,Bahrain Grand Prix,max_verstappen,0.013452490549081018,0
rf_clf,2025,4,Bahrain Grand Prix,gasly,0.05915781339442322,0
rf_clf,2025,4,Bahrain Grand Prix,ocon,0.0856540486066042,0
rf_clf,2025,4,Bahrain Grand Prix,tsunoda,0.09446118909045514,0
rf_clf,2025,4,Bahrain Grand Prix,bearman,0.05498740784812374,1
rf_clf,2025,4,Bahrain Grand Prix,antonelli,0.0053301274246849,0
rf_clf,2025,4,Bahrain Grand Prix,albon,0.09872324759463723,0
rf_clf,2025,4,Bahrain Grand Prix,hadjar,0.08682038767871457,0
rf_clf,2025,4,Bahrain Grand Prix,doohan,0.07383805886183645,0
rf_clf,2025,4,Bahrain Grand Prix,alonso,0.09714085390794036,0
rf_clf,2025,4,Bahrain Grand Prix,lawson,0.062231393198876786,0
rf_clf,2025,4,Bahrain Grand Prix,stroll,0.05550751037939352,0
rf_clf,2025,4,Bahrain Grand Prix,bortoleto,0.025935499010717667,0
rf_clf,2025,4,Bahrain Grand Prix,sainz,0.06118346847821911,0
rf_clf,2025,4,Bahrain Grand Prix,hulkenberg,0.06852896438472253,0
xgb_clf,2025,4,Bahrain Grand Prix,piastri,0.030999950519007287,0
xgb_clf,2025,4,Bahrain Grand Prix,russell,0.03176777269295829,0
xgb_clf,2025,4,Bahrain Grand Prix,norris,0.0328767071349465,0
xgb_clf,2025,4,Bahrain Grand Prix,leclerc,0.03404375923660735,0
xgb_clf,2025,4,Bahrain Grand Prix,hamilton,0.0528549983608795,0
xgb_clf,2025,4,Bahrain Grand Prix,max_verstappen,0.033849769429171575,0
xgb_clf,2025,4,Bahrain Grand Prix,gasly,0.043164541773982705,0
xgb_clf,2025,4,Bahrain Grand Prix,ocon,0.05675998435054478,0
xgb_clf,2025,4,Bahrain Grand Prix,tsunoda,0.047837873238293874,0
xgb_clf,2025,4,Bahrain Grand Prix,bearman,0.041890024597261,1
xgb_clf,2025,4,Bahrain Grand Prix,antonelli,0.0319349676491314,0
xgb_clf,2025,4,Bahrain Grand Prix,albon,0.08570913674879035,0
xgb_clf,2025,4,Bahrain Grand Prix,hadjar,0.045259531636557014,0
xgb_clf,2025,4,Bahrain Grand Prix,doohan,0.041927604928656895,0
xgb_clf,2025,4,Bahrain Grand Prix,alonso,0.059207701305424056,0
xgb_clf,2025,4,Bahrain Grand Prix,lawson,0.04706470442615489,0
xgb_clf,2025,4,Bahrain Grand Prix,stroll,0.03987451810112327,0
xgb_clf,2025,4,Bahrain Grand Prix,bortoleto,0.038690549724209426,0
xgb_clf,2025,4,Bahrain Grand Prix,sainz,0.03750623723343474,0
xgb_clf,2025,4,Bahrain Grand Prix,hulkenberg,0.03898797490414563,0
rf_clf,2025,5,Saudi Arabian Grand Prix,piastri,0.0,0
rf_clf,2025,5,Saudi Arabian Grand Prix,max_verstappen,0.0,0
rf_clf,2025,5,Saudi Arabian Grand Prix,leclerc,0.00754848309326289,0
rf_clf,2025,5,Saudi Arabian Grand Prix,norris,0.006459759705199697,0
rf_clf,2025,5,Saudi Arabian Grand Prix,russell,0.0031363242603808295,0
rf_clf,2025,5,Saudi Arabian Grand Prix,antonelli,0.01725442864055274,0
rf_clf,2025,5,Saudi Arabian Grand Prix,hamilton,0.04801402030110056,0
rf_clf,2025,5,Saudi Arabian Grand Prix,sainz,0.04849719692642323,0
rf_clf,2025,5,Saudi Arabian Grand Prix,albon,0.09723638801771879,0
rf_clf,2025,5,Saudi Arabian Grand Prix,hadjar,0.0890282639141845,1
rf_clf,2025,5,Saudi Arabian Grand Prix,alonso,0.0856114675842239,0
rf_clf,2025,5,Saudi Arabian Grand Prix,lawson,0.08133313479411759,0
rf_clf,2025,5,Saudi Arabian Grand Prix,bearman,0.08689651447979382,0
rf_clf,2025,5,Saudi Arabian Grand Prix,ocon,0.06075231509172927,0
rf_clf,2025,5,Saudi Arabian Grand Prix,hulkenberg,0.05145525272011777,0
rf_clf,2025,5,Saudi Arabian Grand Prix,stroll,0.08082674668696124,0
rf_clf,2025,5,Saudi Arabian Grand Prix,doohan,0.05822618282804284,0
rf_clf,2025,5,Saudi Arabian Grand Prix,bortoleto,0.009451489362563764,0
rf_clf,2025,5,Saudi Arabian Grand Prix,tsunoda,0.08014127255699885,0
rf_clf,2025,5,Saudi Arabian Grand Prix,gasly,0.07913158674197271,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,piastri,0.03482751533527755,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,max_verstappen,0.025253431393345783,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,leclerc,0.032283301941900704,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,norris,0.03984215031883824,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,russell,0.03083281363330088,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,antonelli,0.042676179096063624,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,hamilton,0.04208180367968319,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,sainz,0.04168014000766123,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,albon,0.11658091298737225,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,hadjar,0.08972394627446653,1
xgb_clf,2025,5,Saudi Arabian Grand Prix,alonso,0.0611063946334688,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,lawson,0.05231631857887621,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,bearman,0.04723594839542279,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,ocon,0.050035585611378816,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,hulkenberg,0.03958453648501066,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,stroll,0.04413352508550784,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,doohan,0.04063127534472537,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,bortoleto,0.035494807551659825,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,tsunoda,0.05603590956546972,0
xgb_clf,2025,5,Saudi Arabian Grand Prix,gasly,0.06854763399037603,0
rf_clf,2025,6,Miami Grand Prix,piastri,0.0019402276693524084,0
rf_clf,2025,6,Miami Grand Prix,norris,0.0045568863374176125,0
rf_clf,2025,6,Miami Grand Prix,russell,0.00511010190217196,0
rf_clf,2025,6,Miami Grand Prix,max_verstappen,0.0,0
rf_clf,2025,6,Miami Grand Prix,albon,0.0639017724211558,0
rf_clf,2025,6,Miami Grand Prix,antonelli,0.009579131076301725,0
rf_clf,2025,6,Miami Grand Prix,leclerc,0.02788735302392869,0
rf_clf,2025,6,Miami Grand Prix,hamilton,0.06901109901690841,0
rf_clf,2025,6,Miami Grand Prix,sainz,0.04119590147778527,0
rf_clf,2025,6,Miami Grand Prix,tsunoda,0.08030834196169845,1
rf_clf,2025,6,Miami Grand Prix,hadjar,0.09715675209946795,0
rf_clf,2025,6,Miami Grand Prix,ocon,0.11611350098762496,0
rf_clf,2025,6,Miami Grand Prix,gasly,0.05581843761317752,0
rf_clf,2025,6,Miami Grand Prix,hulkenberg,0.059383561716292686,0
rf_clf,2025,6,Miami Grand Prix,alonso,0.06444348558547748,0
rf_clf,2025,6,Miami Grand Prix,stroll,0.04574036660602101,0
rf_clf,2025,6,Miami Grand Prix,lawson,0.0788167737149423,0
rf_clf,2025,6,Miami Grand Prix,bortoleto,0.062126599991241795,0
rf_clf,2025,6,Miami Grand Prix,bearman,0.0547016342128168,0
rf_clf,2025,6,Miami Grand Prix,doohan,0.06246712766258618,0
xgb_clf,2025,6,Miami Grand Prix,piastri,0.029900047149569724,0
xgb_clf,2025,6,Miami Grand Prix,norris,0.026000515740319134,0
xgb_clf,2025,6,Miami Grand Prix,russell,0.033145195693857946,0
xgb_clf,2025,6,Miami Grand Prix,max_verstappen,0.024826031050254146,0
xgb_clf,2025,6,Miami Grand Prix,albon,0.057968442788736065,0
xgb_clf,2025,6,Miami Grand Prix,antonelli,0.03660237608578376,0
xgb_clf,2025,6,Miami Grand Prix,leclerc,0.030596983450251053,0
xgb_clf,2025,6,Miami Grand Prix,hamilton,0.04518543232583927,0
xgb_clf,2025,6,Miami Grand Prix,sainz,0.03653649291201809,0
xgb_clf,2025,6,Miami Grand Prix,tsunoda,0.049713203930645454,1
xgb_clf,2025,6,Miami Grand Prix,hadjar,0.13329944836033966,0
xgb_clf,2025,6,Miami Grand Prix,ocon,0.04766691581211849,0
xgb_clf,2025,6,Miami Grand Prix,gasly,0.04787191037955638,0
xgb_clf,2025,6,Miami Grand Prix,hulkenberg,0.03839789675893006,0
xgb_clf,2025,6,Miami Grand Prix,alonso,0.0767524624477466,0
xgb_clf,2025,6,Miami Grand Prix,stroll,0.03289576851284297,0
xgb_clf,2025,6,Miami Grand Prix,lawson,0.04305102279055452,0
xgb_clf,2025,6,Miami Grand Prix,bortoleto,0.045088461638901824,0
xgb_clf,2025,6,Miami Grand Prix,bearman,0.04877502494997911,0
xgb_clf,2025,6,Miami Grand Prix,doohan,0.039107502412516454,0
rf_clf,2025,7,Emilia Romagna Grand Prix,max_verstappen,0.0,0
rf_clf,2025,7,Emilia Romagna Grand Prix,norris,0.0020119376894991133,0
rf_clf,2025,7,Emilia Romagna Grand Prix,piastri,0.0,0
rf_clf,2025,7,Emilia Romagna Grand Prix,hamilton,0.07257725080857816,0
rf_clf,2025,7,Emilia Romagna Grand Prix,albon,0.06055571736852515,0
rf_clf,2025,7,Emilia Romagna Grand Prix,leclerc,0.04967858294296995,0
rf_clf,2025,7,Emilia Romagna Grand Prix,russell,0.0022601440121355542,0
rf_clf,2025,7,Emilia Romagna Grand Prix,sainz,0.04365488144129683,0
rf_clf,2025,7,Emilia Romagna Grand Prix,hadjar,0.08068996279996235,0
rf_clf,2025,7,Emilia Romagna Grand Prix,tsunoda,0.08351836129890877,1
