cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2017,2013,2016,1,EARLY,ridge,grosjean,20,0
2017,2013,2016,1,EARLY,rf_reg,massa,6,10
2017,2013,2016,1,EARLY,rf_clf,kvyat,9,18
2017,2013,2016,1,EARLY,xgb_reg,ricciardo,17,4
2017,2013,2016,1,EARLY,xgb_clf,sainz,8,15
2017,2013,2016,1,EARLY,xgb_ranker,alonso,14,10
2017,2013,2016,1,EARLY,lgb_reg,massa,6,10
2017,2013,2016,1,EARLY,lgbm_ranker,hulkenberg,11,18
2017,2013,2016,1,EARLY,ensemble,alonso,14,10
2017,2013,2016,2,EARLY,ridge,perez,9,18
2017,2013,2016,2,EARLY,rf_reg,hulkenberg,12,15
2017,2013,2016,2,EARLY,rf_clf,sainz,7,12
2017,2013,2016,2,EARLY,xgb_reg,massa,14,10
2017,2013,2016,2,EARLY,xgb_clf,sainz,7,12
2017,2013,2016,2,EARLY,xgb_ranker,sainz,7,12
2017,2013,2016,2,EARLY,lgb_reg,massa,14,10
2017,2013,2016,2,EARLY,lgbm_ranker,stroll,20,0
2017,2013,2016,2,EARLY,ensemble,stroll,20,0
2017,2013,2016,3,EARLY,ridge,hulkenberg,9,18
2017,2013,2016,3,EARLY,rf_reg,hulkenberg,9,18
2017,2013,2016,3,EARLY,rf_clf,kvyat,12,15
2017,2013,2016,3,EARLY,xgb_reg,sainz,16,6
2017,2013,2016,3,EARLY,xgb_clf,kvyat,12,15
2017,2013,2016,3,EARLY,xgb_ranker,sainz,16,6
2017,2013,2016,3,EARLY,lgb_reg,sainz,16,6
2017,2013,2016,3,EARLY,lgbm_ranker,sainz,16,6
2017,2013,2016,3,EARLY,ensemble,kvyat,12,15
2017,2013,2016,4,EARLY,ridge,sainz,10,25
2017,2013,2016,4,EARLY,rf_reg,max_verstappen,5,8
2017,2013,2016,4,EARLY,rf_clf,sainz,10,25
2017,2013,2016,4,EARLY,xgb_reg,sainz,10,25
2017,2013,2016,4,EARLY,xgb_clf,sainz,10,25
2017,2013,2016,4,EARLY,xgb_ranker,stroll,11,18
2017,2013,2016,4,EARLY,lgb_reg,raikkonen,3,4
2017,2013,2016,4,EARLY,lgbm_ranker,sainz,10,25
2017,2013,2016,4,EARLY,ensemble,sainz,10,25
2017,2013,2016,5,EARLY,ridge,perez,4,6
2017,2013,2016,5,EARLY,rf_reg,alonso,12,15
2017,2013,2016,5,EARLY,rf_clf,ocon,5,8
2017,2013,2016,5,EARLY,xgb_reg,massa,13,12
2017,2013,2016,5,EARLY,xgb_clf,sainz,7,12
