cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2018,2014,2017,1,EARLY,ridge,grosjean,16,6
2018,2014,2017,1,EARLY,rf_reg,ricciardo,4,6
2018,2014,2017,1,EARLY,rf_clf,grosjean,16,6
2018,2014,2017,1,EARLY,xgb_reg,ricciardo,4,6
2018,2014,2017,1,EARLY,xgb_clf,stroll,14,10
2018,2014,2017,1,EARLY,xgb_ranker,stroll,14,10
2018,2014,2017,1,EARLY,lgb_reg,alonso,5,8
2018,2014,2017,1,EARLY,lgbm_ranker,stroll,14,10
2018,2014,2017,1,EARLY,ensemble,stroll,14,10
2018,2014,2017,2,EARLY,ridge,alonso,7,12
2018,2014,2017,2,EARLY,rf_reg,hulkenberg,6,10
2018,2014,2017,2,EARLY,rf_clf,vandoorne,8,15
2018,2014,2017,2,EARLY,xgb_reg,gasly,4,6
2018,2014,2017,2,EARLY,xgb_clf,sainz,11,18
2018,2014,2017,2,EARLY,xgb_ranker,gasly,4,6
2018,2014,2017,2,EARLY,lgb_reg,gasly,4,6
2018,2014,2017,2,EARLY,lgbm_ranker,sainz,11,18
2018,2014,2017,2,EARLY,ensemble,sainz,11,18
2018,2014,2017,3,EARLY,ridge,sainz,9,18
2018,2014,2017,3,EARLY,rf_reg,hulkenberg,6,10
2018,2014,2017,3,EARLY,rf_clf,sainz,9,18
2018,2014,2017,3,EARLY,xgb_reg,ricciardo,1,1
2018,2014,2017,3,EARLY,xgb_clf,sainz,9,18
2018,2014,2017,3,EARLY,xgb_ranker,hulkenberg,6,10
2018,2014,2017,3,EARLY,lgb_reg,hulkenberg,6,10
2018,2014,2017,3,EARLY,lgbm_ranker,alonso,7,12
2018,2014,2017,3,EARLY,ensemble,hulkenberg,6,10
2018,2014,2017,4,EARLY,ridge,ocon,19,1
2018,2014,2017,4,EARLY,rf_reg,ocon,19,1
2018,2014,2017,4,EARLY,rf_clf,sainz,5,8
2018,2014,2017,4,EARLY,xgb_reg,hulkenberg,18,2
2018,2014,2017,4,EARLY,xgb_clf,vandoorne,9,18
2018,2014,2017,4,EARLY,xgb_ranker,vandoorne,9,18
2018,2014,2017,4,EARLY,lgb_reg,hulkenberg,18,2
2018,2014,2017,4,EARLY,lgbm_ranker,sirotkin,20,0
2018,2014,2017,4,EARLY,ensemble,hulkenberg,18,2
2018,2014,2017,5,EARLY,ridge,hulkenberg,20,0
2018,2014,2017,5,EARLY,rf_reg,sainz,7,12
2018,2014,2017,5,EARLY,rf_clf,vandoorne,15,8
2018,2014,2017,5,EARLY,xgb_reg,hulkenberg,20,0
2018,2014,2017,5,EARLY,xgb_clf,perez,9,18
2018,2014,2017,5,EARLY,xgb_ranker,gasly,19,1
2018,2014,2017,5,EARLY,lgb_reg,perez,9,18
2018,2014,2017,5,EARLY,lgbm_ranker,perez,9,18
2018,2014,2017,5,EARLY,ensemble,perez,9,18
2018,2014,2017,6,MID,ridge,sainz,10,25
2018,2014,2017,6,MID,rf_reg,alonso,20,0
2018,2014,2017,6,MID,rf_clf,alonso,20,0
2018,2014,2017,6,MID,xgb_reg,vandoorne,14,10
2018,2014,2017,6,MID,xgb_clf,gasly,7,12
2018,2014,2017,6,MID,xgb_ranker,gasly,7,12
2018,2014,2017,6,MID,lgb_reg,hulkenberg,8,15
2018,2014,2017,6,MID,lgbm_ranker,gasly,7,12
2018,2014,2017,6,MID,ensemble,gasly,7,12
2018,2014,2017,7,MID,ridge,sainz,8,15
2018,2014,2017,7,MID,rf_reg,hulkenberg,7,12
2018,2014,2017,7,MID,rf_clf,alonso,18,2
2018,2014,2017,7,MID,xgb_reg,ocon,9,18
2018,2014,2017,7,MID,xgb_clf,alonso,18,2
2018,2014,2017,7,MID,xgb_ranker,alonso,18,2
2018,2014,2017,7,MID,lgb_reg,ocon,9,18
2018,2014,2017,7,MID,lgbm_ranker,alonso,18,2
2018,2014,2017,7,MID,ensemble,alonso,18,2
2018,2014,2017,8,MID,ridge,sainz,8,15
2018,2014,2017,8,MID,rf_reg,hulkenberg,9,18
2018,2014,2017,8,MID,rf_clf,sainz,8,15
2018,2014,2017,8,MID,xgb_reg,kevin_magnussen,6,10
2018,2014,2017,8,MID,xgb_clf,sainz,8,15
2018,2014,2017,8,MID,xgb_ranker,alonso,16,6
2018,2014,2017,8,MID,lgb_reg,kevin_magnussen,6,10
2018,2014,2017,8,MID,lgbm_ranker,hulkenberg,9,18
2018,2014,2017,8,MID,ensemble,sainz,8,15
2018,2014,2017,9,MID,ridge,kevin_magnussen,5,8
2018,2014,2017,9,MID,rf_reg,kevin_magnussen,5,8
2018,2014,2017,9,MID,rf_clf,sainz,12,15
2018,2014,2017,9,MID,xgb_reg,grosjean,4,6
2018,2014,2017,9,MID,xgb_clf,alonso,8,15
2018,2014,2017,9,MID,xgb_ranker,alonso,8,15
2018,2014,2017,9,MID,lgb_reg,gasly,11,18
2018,2014,2017,9,MID,lgbm_ranker,alonso,8,15
2018,2014,2017,9,MID,ensemble,alonso,8,15
2018,2014,2017,10,MID,ridge,kevin_magnussen,9,18
2018,2014,2017,10,MID,rf_reg,hulkenberg,6,10
2018,2014,2017,10,MID,rf_clf,hulkenberg,6,10
2018,2014,2017,10,MID,xgb_reg,kevin_magnussen,9,18
2018,2014,2017,10,MID,xgb_clf,perez,10,25
2018,2014,2017,10,MID,xgb_ranker,alonso,8,15
2018,2014,2017,10,MID,lgb_reg,kevin_magnussen,9,18
2018,2014,2017,10,MID,lgbm_ranker,alonso,8,15
2018,2014,2017,10,MID,ensemble,hulkenberg,6,10
2018,2014,2017,11,MID,ridge,ricciardo,20,0
2018,2014,2017,11,MID,rf_reg,sainz,12,15
2018,2014,2017,11,MID,rf_clf,sainz,12,15
2018,2014,2017,11,MID,xgb_reg,ricciardo,20,0
2018,2014,2017,11,MID,xgb_clf,alonso,16,6
2018,2014,2017,11,MID,xgb_ranker,kevin_magnussen,11,18
2018,2014,2017,11,MID,lgb_reg,sainz,12,15
2018,2014,2017,11,MID,lgbm_ranker,sirotkin,19,1
2018,2014,2017,11,MID,ensemble,sainz,12,15
2018,2014,2017,12,MID,ridge,kevin_magnussen,7,12
2018,2014,2017,12,MID,rf_reg,gasly,6,10
2018,2014,2017,12,MID,rf_clf,hulkenberg,12,15
2018,2014,2017,12,MID,xgb_reg,alonso,8,15
2018,2014,2017,12,MID,xgb_clf,hulkenberg,12,15
2018,2014,2017,12,MID,xgb_ranker,hulkenberg,12,15
2018,2014,2017,12,MID,lgb_reg,kevin_magnussen,7,12
2018,2014,2017,12,MID,lgbm_ranker,hulkenberg,12,15
2018,2014,2017,12,MID,ensemble,hulkenberg,12,15
2018,2014,2017,13,MID,ridge,ocon,6,10
2018,2014,2017,13,MID,rf_reg,kevin_magnussen,8,15
2018,2014,2017,13,MID,rf_clf,hulkenberg,20,0
2018,2014,2017,13,MID,xgb_reg,ricciardo,16,6
2018,2014,2017,13,MID,xgb_clf,sainz,11,18
2018,2014,2017,13,MID,xgb_ranker,sainz,11,18
2018,2014,2017,13,MID,lgb_reg,hulkenberg,20,0
2018,2014,2017,13,MID,lgbm_ranker,hulkenberg,20,0
2018,2014,2017,13,MID,ensemble,hulkenberg,20,0
2018,2014,2017,14,MID,ridge,sainz,8,15
2018,2014,2017,14,MID,rf_reg,sainz,8,15
2018,2014,2017,14,MID,rf_clf,hulkenberg,13,12
2018,2014,2017,14,MID,xgb_reg,hulkenberg,13,12
2018,2014,2017,14,MID,xgb_clf,kevin_magnussen,16,6
2018,2014,2017,14,MID,xgb_ranker,hulkenberg,13,12
2018,2014,2017,14,MID,lgb_reg,hulkenberg,13,12
2018,2014,2017,14,MID,lgbm_ranker,hulkenberg,13,12
2018,2014,2017,14,MID,ensemble,hulkenberg,13,12
2018,2014,2017,15,MID,ridge,perez,16,6
2018,2014,2017,15,MID,rf_reg,grosjean,15,8
2018,2014,2017,15,MID,rf_clf,hulkenberg,10,25
2018,2014,2017,15,MID,xgb_reg,alonso,7,12
2018,2014,2017,15,MID,xgb_clf,alonso,7,12
2018,2014,2017,15,MID,xgb_ranker,alonso,7,12
2018,2014,2017,15,MID,lgb_reg,sainz,8,15
2018,2014,2017,15,MID,lgbm_ranker,hulkenberg,10,25
2018,2014,2017,15,MID,ensemble,hulkenberg,10,25
2018,2014,2017,16,LATE,ridge,perez,10,25
2018,2014,2017,16,LATE,rf_reg,perez,10,25
2018,2014,2017,16,LATE,rf_clf,sainz,17,4
2018,2014,2017,16,LATE,xgb_reg,leclerc,7,12
2018,2014,2017,16,LATE,xgb_clf,sainz,17,4
2018,2014,2017,16,LATE,xgb_ranker,sainz,17,4
2018,2014,2017,16,LATE,lgb_reg,leclerc,7,12
2018,2014,2017,16,LATE,lgbm_ranker,sainz,17,4
2018,2014,2017,16,LATE,ensemble,perez,10,25
2018,2014,2017,17,LATE,ridge,ocon,9,18
2018,2014,2017,17,LATE,rf_reg,grosjean,8,15
2018,2014,2017,17,LATE,rf_clf,perez,7,12
2018,2014,2017,17,LATE,xgb_reg,ocon,9,18
2018,2014,2017,17,LATE,xgb_clf,sainz,10,25
