cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2020,2016,2019,1,EARLY,ridge,perez,6,10
2020,2016,2019,1,EARLY,rf_reg,stroll,18,2
2020,2016,2019,1,EARLY,rf_clf,stroll,18,2
2020,2016,2019,1,EARLY,xgb_reg,ricciardo,19,1
2020,2016,2019,1,EARLY,xgb_clf,ocon,8,15
2020,2016,2019,1,EARLY,xgb_ranker,ocon,8,15
2020,2016,2019,1,EARLY,lgb_reg,ricciardo,19,1
2020,2016,2019,1,EARLY,lgbm_ranker,ocon,8,15
2020,2016,2019,1,EARLY,ensemble,ricciardo,19,1
2020,2016,2019,2,EARLY,ridge,ricciardo,8,15
2020,2016,2019,2,EARLY,rf_reg,leclerc,19,1
2020,2016,2019,2,EARLY,rf_clf,kvyat,10,25
2020,2016,2019,2,EARLY,xgb_reg,kvyat,10,25
2020,2016,2019,2,EARLY,xgb_clf,kvyat,10,25
2020,2016,2019,2,EARLY,xgb_ranker,kvyat,10,25
2020,2016,2019,2,EARLY,lgb_reg,leclerc,19,1
2020,2016,2019,2,EARLY,lgbm_ranker,kvyat,10,25
2020,2016,2019,2,EARLY,ensemble,kvyat,10,25
2020,2016,2019,3,EARLY,ridge,norris,13,12
2020,2016,2019,3,EARLY,rf_reg,vettel,6,10
2020,2016,2019,3,EARLY,rf_clf,gasly,20,0
2020,2016,2019,3,EARLY,xgb_reg,max_verstappen,2,2
2020,2016,2019,3,EARLY,xgb_clf,ocon,14,10
2020,2016,2019,3,EARLY,xgb_ranker,ocon,14,10
2020,2016,2019,3,EARLY,lgb_reg,stroll,4,6
2020,2016,2019,3,EARLY,lgbm_ranker,ricciardo,8,15
2020,2016,2019,3,EARLY,ensemble,gasly,20,0
2020,2016,2019,4,EARLY,ridge,ricciardo,4,6
2020,2016,2019,4,EARLY,rf_reg,albon,8,15
2020,2016,2019,4,EARLY,rf_clf,gasly,7,12
2020,2016,2019,4,EARLY,xgb_reg,max_verstappen,2,2
2020,2016,2019,4,EARLY,xgb_clf,gasly,7,12
2020,2016,2019,4,EARLY,xgb_ranker,kvyat,18,2
2020,2016,2019,4,EARLY,lgb_reg,leclerc,3,4
2020,2016,2019,4,EARLY,lgbm_ranker,ocon,6,10
2020,2016,2019,4,EARLY,ensemble,vettel,10,25
2020,2016,2019,5,EARLY,ridge,albon,5,8
2020,2016,2019,5,EARLY,rf_reg,gasly,11,18
2020,2016,2019,5,EARLY,rf_clf,ocon,8,15
2020,2016,2019,5,EARLY,xgb_reg,sainz,13,12
2020,2016,2019,5,EARLY,xgb_clf,kvyat,10,25
2020,2016,2019,5,EARLY,xgb_ranker,ocon,8,15
2020,2016,2019,5,EARLY,lgb_reg,albon,5,8
2020,2016,2019,5,EARLY,lgbm_ranker,ocon,8,15
2020,2016,2019,5,EARLY,ensemble,ocon,8,15
2020,2016,2019,6,MID,ridge,sainz,6,10
2020,2016,2019,6,MID,rf_reg,norris,10,25
2020,2016,2019,6,MID,rf_clf,gasly,9,18
2020,2016,2019,6,MID,xgb_reg,leclerc,20,0
2020,2016,2019,6,MID,xgb_clf,norris,10,25
2020,2016,2019,6,MID,xgb_ranker,ocon,13,12
2020,2016,2019,6,MID,lgb_reg,leclerc,20,0
2020,2016,2019,6,MID,lgbm_ranker,ricciardo,11,18
2020,2016,2019,6,MID,ensemble,norris,10,25
2020,2016,2019,7,MID,ridge,sainz,20,0
2020,2016,2019,7,MID,rf_reg,norris,7,12
2020,2016,2019,7,MID,rf_clf,kvyat,11,18
2020,2016,2019,7,MID,xgb_reg,stroll,9,18
2020,2016,2019,7,MID,xgb_clf,leclerc,14,10
2020,2016,2019,7,MID,xgb_ranker,leclerc,14,10
2020,2016,2019,7,MID,lgb_reg,norris,7,12
2020,2016,2019,7,MID,lgbm_ranker,kvyat,11,18
2020,2016,2019,7,MID,ensemble,norris,7,12
2020,2016,2019,8,MID,ridge,stroll,3,4
2020,2016,2019,8,MID,rf_reg,stroll,3,4
2020,2016,2019,8,MID,rf_clf,ocon,8,15
2020,2016,2019,8,MID,xgb_reg,ocon,8,15
2020,2016,2019,8,MID,xgb_clf,ocon,8,15
2020,2016,2019,8,MID,xgb_ranker,ocon,8,15
2020,2016,2019,8,MID,lgb_reg,albon,15,8
2020,2016,2019,8,MID,lgbm_ranker,ocon,8,15
2020,2016,2019,8,MID,ensemble,ocon,8,15
2020,2016,2019,9,MID,ridge,ricciardo,4,6
2020,2016,2019,9,MID,rf_reg,leclerc,8,15
2020,2016,2019,9,MID,rf_clf,vettel,10,25
2020,2016,2019,9,MID,xgb_reg,leclerc,8,15
2020,2016,2019,9,MID,xgb_clf,norris,6,10
2020,2016,2019,9,MID,xgb_ranker,ocon,14,10
2020,2016,2019,9,MID,lgb_reg,leclerc,8,15
2020,2016,2019,9,MID,lgbm_ranker,perez,5,8
2020,2016,2019,9,MID,ensemble,ocon,14,10
2020,2016,2019,10,MID,ridge,norris,15,8
2020,2016,2019,10,MID,rf_reg,perez,4,6
2020,2016,2019,10,MID,rf_clf,leclerc,6,10
2020,2016,2019,10,MID,xgb_reg,gasly,9,18
2020,2016,2019,10,MID,xgb_clf,gasly,9,18
2020,2016,2019,10,MID,xgb_ranker,leclerc,6,10
2020,2016,2019,10,MID,lgb_reg,norris,15,8
2020,2016,2019,10,MID,lgbm_ranker,leclerc,6,10
2020,2016,2019,10,MID,ensemble,gasly,9,18
2020,2016,2019,11,MID,ridge,leclerc,7,12
2020,2016,2019,11,MID,rf_reg,perez,4,6
2020,2016,2019,11,MID,rf_clf,vettel,11,18
2020,2016,2019,11,MID,xgb_reg,sainz,5,8
2020,2016,2019,11,MID,xgb_clf,vettel,11,18
2020,2016,2019,11,MID,xgb_ranker,gasly,6,10
2020,2016,2019,11,MID,lgb_reg,hulkenberg,8,15
2020,2016,2019,11,MID,lgbm_ranker,leclerc,7,12
2020,2016,2019,11,MID,ensemble,sainz,5,8
2020,2016,2019,12,MID,ridge,gasly,5,8
2020,2016,2019,12,MID,rf_reg,sainz,6,10
2020,2016,2019,12,MID,rf_clf,ocon,8,15
2020,2016,2019,12,MID,xgb_reg,norris,13,12
2020,2016,2019,12,MID,xgb_clf,norris,13,12
2020,2016,2019,12,MID,xgb_ranker,gasly,5,8
2020,2016,2019,12,MID,lgb_reg,leclerc,4,6
2020,2016,2019,12,MID,lgbm_ranker,sainz,6,10
2020,2016,2019,12,MID,ensemble,gasly,5,8
2020,2016,2019,13,MID,ridge,kvyat,4,6
2020,2016,2019,13,MID,rf_reg,stroll,13,12
2020,2016,2019,13,MID,rf_clf,ocon,19,1
2020,2016,2019,13,MID,xgb_reg,stroll,13,12
2020,2016,2019,13,MID,xgb_clf,norris,8,15
2020,2016,2019,13,MID,xgb_ranker,vettel,12,15
2020,2016,2019,13,MID,lgb_reg,leclerc,5,8
2020,2016,2019,13,MID,lgbm_ranker,ocon,19,1
2020,2016,2019,13,MID,ensemble,ocon,19,1
2020,2016,2019,14,MID,ridge,leclerc,4,6
2020,2016,2019,14,MID,rf_reg,stroll,9,18
2020,2016,2019,14,MID,rf_clf,vettel,3,4
2020,2016,2019,14,MID,xgb_reg,ocon,11,18
2020,2016,2019,14,MID,xgb_clf,ocon,11,18
2020,2016,2019,14,MID,xgb_ranker,gasly,13,12
2020,2016,2019,14,MID,lgb_reg,vettel,3,4
2020,2016,2019,14,MID,lgbm_ranker,vettel,3,4
2020,2016,2019,14,MID,ensemble,vettel,3,4
2020,2016,2019,15,MID,ridge,ocon,9,18
2020,2016,2019,15,MID,rf_reg,gasly,6,10
2020,2016,2019,15,MID,rf_clf,vettel,13,12
2020,2016,2019,15,MID,xgb_reg,gasly,6,10
2020,2016,2019,15,MID,xgb_clf,kvyat,11,18
2020,2016,2019,15,MID,xgb_ranker,vettel,13,12
2020,2016,2019,15,MID,lgb_reg,ocon,9,18
2020,2016,2019,15,MID,lgbm_ranker,kevin_magnussen,17,4
