train_start,train_end,year,round,driver_id,constructor_id,grid_position,ridge_score,ridge_pick,rf_reg_score,rf_reg_pick,rf_clf_score,rf_clf_pick,xgb_reg_score,xgb_reg_pick,xgb_clf_score,xgb_clf_pick,xgb_ranker_score,xgb_ranker_pick,lgb_reg_score,lgb_reg_pick,lgbm_ranker_score,lgbm_ranker_pick,ensemble_score,ensemble_pick,vote_count,actual_pos
2013,2016,2017,1,alonso,mclaren,13.0,12.003074611791549,0,12.654687509643404,0,11.873466351336072,0,11.935535,0,9.30369730162831,0,-0.10893368,1,12.593647466112353,0,-0.3856565360060269,1,0.9195499097585472,1,3,14
2013,2016,2017,1,massa,williams,7.0,10.229548325764387,1,10.240753107236506,1,11.47013695572036,0,9.457737,0,8.728238086591306,0,-1.8831191,0,10.488580285327277,0,-4.3170557919357115,0,0.6725478486260373,0,2,6
2013,2016,2017,1,perez,force_india,11.0,10.773669018569514,0,11.386421233034845,0,11.544234426998704,0,9.306726,0,9.316042953358691,0,-1.9595101,0,9.6387500685872,1,-3.1842428827018194,0,0.6966950137509612,0,1,7
2013,2016,2017,1,sainz,toro_rosso,8.0,9.528707380202725,0,11.131766806328123,0,11.997390106433834,0,8.920751,0,9.692933235465489,1,-1.5841806,0,11.774375444898205,0,-1.3759886274733928,0,0.7276885164538871,0,1,8
2013,2016,2017,1,grosjean,haas,6.0,9.745870290327142,0,9.42255293046597,0,10.801462680976577,0,9.9599,1,8.60506114481606,0,-1.4032888,0,11.209122934755893,0,-3.3686400939496015,0,0.7065767273404845,0,1,20
2013,2016,2017,1,kvyat,toro_rosso,9.0,10.859781144621142,0,12.058740306000201,0,12.386780751237323,1,12.519707,0,9.554977703364722,0,-1.3921539,0,12.083457018435233,0,-2.6373008993946607,0,0.7334337643274762,0,1,9
2013,2016,2017,1,hamilton,mercedes,1.0,4.415827433121608,0,2.1748109592419014,0,1.8685162228276444,0,1.1082177,0,6.116945818770178,0,-4.389335,0,0.820359445996989,0,-10.432575155533124,0,0.0,0,0,2
2013,2016,2017,1,vettel,ferrari,2.0,5.494147388928424,0,5.173829181841704,0,3.895123202823682,0,5.9667215,0,7.301953415523281,0,-4.0939612,0,5.385817174321392,0,-9.587913978091507,0,0.10670247702776829,0,0,1
2013,2016,2017,1,raikkonen,ferrari,4.0,6.711621004319124,0,5.655773949485772,0,6.193631820599191,0,3.8953195,0,8.008477232468127,0,-2.9378927,0,3.0224439691692098,0,-7.846033851135163,0,0.31853320003662605,0,0,4
2013,2016,2017,1,bottas,mercedes,3.0,9.749215695833243,0,5.862843496938671,0,5.62545590974972,0,6.8426223,0,8.304990288324134,0,-2.3789573,0,5.703325160892179,0,-6.751109172337144,0,0.4144457852469443,0,0,3
2013,2016,2017,1,max_verstappen,red_bull,5.0,7.268610401607207,0,8.092954802826611,0,6.058204962395861,0,8.164335,0,8.333512993457218,0,-3.0455658,0,7.397343934783883,0,-6.414043974440533,0,0.3497900700614838,0,0,5
2013,2016,2017,1,ocon,force_india,14.0,15.352544388435572,0,14.20471241690431,0,8.423606881702408,0,15.495382,0,8.633594733000985,0,-2.690053,0,14.591952438190095,0,-5.032374011680511,0,0.43824139628219716,0,0,10
2013,2016,2017,1,giovinazzi,sauber,16.0,12.88519211576503,0,14.38252259606687,0,7.809269910632011,0,14.06411,0,8.723955802638512,0,-1.8932178,0,12.835601252814634,0,-4.032319203893125,0,0.5639520008172022,0,0,12
2013,2016,2017,1,hulkenberg,renault,12.0,10.537049797462048,0,11.949330025209486,0,10.925039734111472,0,12.394885,0,9.142339191869505,0,-0.85813105,0,11.321821481602015,0,-2.6369547760711973,0,0.7953032386642546,0,0,11
2013,2016,2017,1,kevin_magnussen,haas,17.0,13.729802951435909,0,14.295667065007244,0,8.284674256311554,0,16.463392,0,8.241361443944767,0,-2.8747742,0,15.909006395853678,0,-4.190245575074791,0,0.41334377118580196,0,0,15
2013,2016,2017,1,vandoorne,mclaren,18.0,12.639730331230266,0,14.238723975157875,0,9.502757166699372,0,15.187099,0,9.140271522427904,0,-1.4030651,0,14.215023704009212,0,-3.916725160627708,0,0.6492544140852599,0,0,13
2013,2016,2017,1,stroll,williams,19.0,14.06064658243616,0,14.252475399630349,0,8.15607000233485,0,14.83972,0,8.507949681353539,0,-3.41382,0,15.17734217022226,0,-5.350906762365109,0,0.329247229124512,0,0,16
2013,2016,2017,1,ricciardo,red_bull,10.0,9.07242213165021,0,10.288293194647112,0,9.016425998388218,0,10.982408,0,8.695442082116145,0,-3.5073867,0,9.346143996768825,0,-5.506030431038636,0,0.3949945573539539,0,0,17
2013,2016,2017,1,ericsson,sauber,15.0,15.217465610696053,0,14.313629015612145,0,7.26168528230016,0,16.142036,0,8.352609598559814,0,-3.2188623,0,16.167670739874154,0,-5.1300508726014575,0,0.3408510033552177,0,0,18
2013,2016,2017,1,jolyon_palmer,renault,20.0,14.690285330871076,0,15.188824246734292,0,7.628214816994523,0,15.968836,0,8.567487523347808,0,-3.363934,0,15.092339883629144,0,-6.325445237531897,0,0.3160115955383312,0,0,19
2013,2016,2017,2,hulkenberg,renault,7.0,10.414780748544377,0,10.700135452129691,1,11.827258414483595,0,10.577711,1,9.191979397095519,0,-1.2618777,0,8.936230447115936,0,-2.8920617203295,0,0.8439694092207957,0,2,12
2013,2016,2017,2,stroll,williams,10.0,9.276612554919655,0,12.384270848812724,0,12.075594358752193,0,11.463772,0,9.864801030270964,1,-1.8933334,0,11.139479460510136,0,-1.3831968935422787,1,0.7785743010603515,0,2,20
2013,2016,2017,2,sainz,toro_rosso,11.0,12.255074078480007,0,12.470586196179749,0,12.52254636472465,0,11.995056,0,9.863683978144016,0,-0.5460314,1,12.768113216631532,0,-3.484404950474034,0,0.9096785686890935,1,2,7
2013,2016,2017,2,perez,force_india,8.0,9.849077400964731,1,11.883216165127894,0,12.023487609501544,0,11.613584,0,9.196427923052388,0,-2.7031057,0,12.546718096420982,0,-5.676202499907828,0,0.5480910683647545,0,1,9
2013,2016,2017,2,massa,williams,6.0,8.193593107951404,0,9.203467316734988,0,11.094823290689662,0,8.280085,0,8.822678699398308,0,-2.5327175,0,9.121190020151166,1,-4.602222097215079,0,0.627568242625363,0,1,14
2013,2016,2017,2,kvyat,toro_rosso,9.0,11.754659415783443,0,12.454669744284582,0,12.631601607917,1,12.345386,0,9.830535451822353,0,-1.5210723,0,12.299486344759167,0,-4.382445671003749,0,0.7613453430830365,0,1,17
2013,2016,2017,2,vettel,ferrari,2.0,2.463792596229787,0,2.881711059237905,0,2.57961013458168,0,3.6233313,0,6.449375908403344,0,-4.3980823,0,4.406729345881235,0,-11.217909993239067,0,0.034432316575881056,0,0,2
2013,2016,2017,2,hamilton,mercedes,1.0,1.395944699059065,0,2.165671223148408,0,1.8760978511016,0,1.8668605,0,5.160147955809686,0,-4.1867614,0,3.238346316807536,0,-11.145945918533288,0,0.03944129784119923,0,0,1
2013,2016,2017,2,ricciardo,red_bull,5.0,5.692584431749829,0,6.6905649717751325,0,9.642283286326904,0,6.363657,0,8.567897693349263,0,-2.7149994,0,5.34006460767788,0,-5.189352578741933,0,0.4923958981866392,0,0,4
2013,2016,2017,2,max_verstappen,red_bull,19.0,12.03119066412141,0,10.856894404480308,0,9.003028901154488,0,12.021964,0,8.896222297876703,0,-2.3025646,0,11.259538786913165,0,-5.816885508688814,0,0.5974209804620673,0,0,3
2013,2016,2017,2,kevin_magnussen,haas,12.0,15.026618087396642,0,14.045311011958972,0,9.446350342698478,0,14.547608,0,8.50350703234066,0,-2.6344435,0,15.07585179257692,0,-3.2764829678023513,0,0.5262337085405088,0,0,8
2013,2016,2017,2,raikkonen,ferrari,4.0,3.699735187857091,0,4.684003767208319,0,5.307701142767806,0,6.3693233,0,6.658923299503387,0,-3.9026766,0,5.0256968338157035,0,-8.712629036114375,0,0.18610530618510082,0,0,5
2013,2016,2017,2,grosjean,haas,17.0,14.73919262779299,0,14.517867791478384,0,8.626561248303888,0,15.449627,0,8.668009615342617,0,-1.9707286,0,15.048129518691463,0,-5.506600978508715,0,0.5832388871466394,0,0,11
2013,2016,2017,2,ocon,force_india,20.0,16.18724120562493,0,15.457578603072399,0,8.179240263924907,0,17.844479,0,8.518327946764481,0,-2.4914927,0,19.352018843160376,0,-9.573558582198022,0,0.42442690550714746,0,0,10
2013,2016,2017,2,bottas,mercedes,3.0,3.799408925464565,0,4.813304126598694,0,4.900194596042484,0,6.2888374,0,6.913436244482564,0,-3.5066507,0,4.863714019469989,0,-8.439277866664181,0,0.2450215827332302,0,0,6
2013,2016,2017,2,jolyon_palmer,renault,18.0,15.152518708349483,0,16.04223362624202,0,7.1978639762712735,0,16.35534,0,8.678658434944039,0,-2.6833518,0,16.005177665344842,0,-7.291181732300313,0,0.42779639817536186,0,0,13
2013,2016,2017,2,alonso,mclaren,13.0,11.777015524262293,0,13.813231492435694,0,10.527422464527124,0,14.547407,0,9.673690436262033,0,-2.7253325,0,14.004318929728752,0,-6.118637395004156,0,0.505373718105193,0,0,16
2013,2016,2017,2,ericsson,sauber,14.0,15.042290022507025,0,15.845408149104607,0,8.07308602543574,0,17.055878,0,8.670818694363971,0,-3.3143013,0,16.54634333799497,0,-7.514357395461329,0,0.34026466018799884,0,0,15
2013,2016,2017,2,vandoorne,mclaren,16.0,14.940718710207754,0,15.445712059698481,0,7.536604538848732,0,16.359705,0,8.34837927581227,0,-3.3503244,0,16.002041120584437,0,-7.491996834075659,0,0.32710824552132706,0,0,18
2013,2016,2017,2,giovinazzi,sauber,15.0,13.85500764657095,0,15.667280939451098,0,7.697730152183869,0,16.107738,0,8.4618269855501,0,-1.8142684,0,16.658331650650872,0,-5.327528948391247,0,0.5870264344500095,0,0,19
