circuit_id,year,avg_pit_stops,pit_stop_variance,n_races
red_bull_ring,2016,3.8,,1
red_bull_ring,2017,1.1764705882352942,,1
red_bull_ring,2018,1.3529411764705883,,1
red_bull_ring,2019,1.15,,1
red_bull_ring,2020,1.7708333333333335,0.7300347222222223,2
red_bull_ring,2021,1.3421052631578947,0.012465373961218844,2
red_bull_ring,2022,2.1,,1
red_bull_ring,2023,3.15,,1
red_bull_ring,2024,2.25,,1
ricard,2018,1.1764705882352942,,1
ricard,2019,1.15,,1
ricard,2021,1.1,,1
ricard,2022,1.3157894736842106,,1
rodriguez,2015,2.111111111111111,,1
rodriguez,2016,1.3333333333333333,,1
rodriguez,2017,1.2777777777777777,,1
rodriguez,2018,1.5263157894736843,,1
rodriguez,2019,1.368421052631579,,1
rodriguez,2021,1.3888888888888888,,1
rodriguez,2022,1.15,,1
rodriguez,2023,2.0,,1
rodriguez,2024,1.2352941176470589,,1
sepang,2011,2.6818181818181817,,1
sepang,2012,3.3043478260869565,,1
sepang,2013,3.4761904761904763,,1
sepang,2014,2.75,,1
sepang,2015,2.7777777777777777,,1
sepang,2016,2.2,,1
sepang,2017,1.1111111111111112,,1
shanghai,2011,2.4166666666666665,,1
shanghai,2012,2.2916666666666665,,1
shanghai,2013,2.85,,1
shanghai,2014,2.142857142857143,,1
shanghai,2015,2.111111111111111,,1
shanghai,2016,3.0,,1
shanghai,2017,4.315789473684211,,1
shanghai,2018,1.5,,1
shanghai,2019,1.85,,1
shanghai,2024,2.0,,1
silverstone,2011,2.4545454545454546,,1
silverstone,2012,1.8695652173913044,,1
silverstone,2013,2.5,,1
silverstone,2014,1.3333333333333333,,1
silverstone,2015,2.2,,1
silverstone,2016,2.1363636363636362,,1
silverstone,2017,1.5,,1
silverstone,2018,1.4736842105263157,,1
silverstone,2019,1.5263157894736843,,1
silverstone,2020,1.6720588235294116,0.2856790657439445,2
silverstone,2021,2.1578947368421053,,1
silverstone,2022,2.764705882352941,,1
silverstone,2023,1.3333333333333333,,1
silverstone,2024,2.3684210526315788,,1
sochi,2014,1.15,,1
sochi,2015,1.1176470588235294,,1
sochi,2016,1.368421052631579,,1
sochi,2017,1.25,,1
sochi,2018,1.0526315789473684,,1
sochi,2019,1.3157894736842106,,1
sochi,2020,1.3333333333333333,,1
sochi,2021,1.95,,1
spa,2011,2.3636363636363638,,1
spa,2012,1.9,,1
spa,2013,2.0476190476190474,,1
spa,2014,2.3,,1
spa,2015,2.111111111111111,,1
spa,2016,3.0,,1
spa,2017,2.2222222222222223,,1
spa,2018,2.125,,1
spa,2019,1.263157894736842,,1
spa,2020,1.1764705882352942,,1
spa,2022,2.111111111111111,,1
spa,2023,1.9473684210526316,,1
spa,2024,1.7894736842105263,,1
suzuka,2011,2.7083333333333335,,1
suzuka,2012,2.090909090909091,,1
suzuka,2013,2.4,,1
suzuka,2014,3.590909090909091,,1
suzuka,2015,2.25,,1
suzuka,2016,1.7272727272727273,,1
suzuka,2017,1.2941176470588236,,1
suzuka,2018,1.15,,1
suzuka,2019,1.631578947368421,,1
suzuka,2022,2.3333333333333335,,1
suzuka,2023,2.15,,1
suzuka,2024,3.0,,1
vegas,2023,1.631578947368421,,1
vegas,2024,1.95,,1
villeneuve,2011,3.260869565217391,,1
villeneuve,2012,1.6818181818181819,,1
villeneuve,2013,2.0,,1
villeneuve,2014,1.9411764705882353,,1
villeneuve,2015,1.15,,1
villeneuve,2016,1.8,,1
villeneuve,2017,1.2352941176470589,,1
villeneuve,2018,1.1111111111111112,,1
villeneuve,2019,1.1578947368421053,,1
villeneuve,2022,1.7777777777777777,,1
villeneuve,2023,1.736842105263158,,1
villeneuve,2024,2.210526315789474,,1
