cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2020,2016,2019,1,ridge,sainz,5,8
2020,2016,2019,1,rf_reg,stroll,18,2
2020,2016,2019,1,rf_clf,stroll,18,2
2020,2016,2019,1,xgb_reg,ricciardo,19,1
2020,2016,2019,1,xgb_clf,ocon,8,15
2020,2016,2019,1,xgb_ranker,ocon,8,15
2020,2016,2019,1,lgb_reg,hamilton,4,6
2020,2016,2019,1,lgbm_ranker,ocon,8,15
2020,2016,2019,1,ensemble,ricciardo,19,1
2020,2016,2019,2,ridge,albon,4,6
2020,2016,2019,2,rf_reg,leclerc,19,1
2020,2016,2019,2,rf_clf,kvyat,10,25
2020,2016,2019,2,xgb_reg,norris,5,8
2020,2016,2019,2,xgb_clf,russell,16,6
2020,2016,2019,2,xgb_ranker,kvyat,10,25
2020,2016,2019,2,lgb_reg,gasly,15,8
2020,2016,2019,2,lgbm_ranker,kvyat,10,25
2020,2016,2019,2,ensemble,gasly,15,8
2020,2016,2019,3,ridge,norris,13,12
2020,2016,2019,3,rf_reg,albon,5,8
2020,2016,2019,3,rf_clf,gasly,20,0
2020,2016,2019,3,xgb_reg,ricciardo,8,15
2020,2016,2019,3,xgb_clf,russell,18,2
2020,2016,2019,3,xgb_ranker,ocon,14,10
2020,2016,2019,3,lgb_reg,ricciardo,8,15
2020,2016,2019,3,lgbm_ranker,russell,18,2
2020,2016,2019,3,ensemble,gasly,20,0
2020,2016,2019,4,ridge,ricciardo,4,6
2020,2016,2019,4,rf_reg,stroll,9,18
2020,2016,2019,4,rf_clf,ocon,6,10
2020,2016,2019,4,xgb_reg,ricciardo,4,6
2020,2016,2019,4,xgb_clf,gasly,7,12
2020,2016,2019,4,xgb_ranker,kvyat,18,2
2020,2016,2019,4,lgb_reg,ricciardo,4,6
2020,2016,2019,4,lgbm_ranker,kvyat,18,2
2020,2016,2019,4,ensemble,vettel,10,25
2020,2016,2019,5,ridge,albon,5,8
2020,2016,2019,5,rf_reg,leclerc,4,6
2020,2016,2019,5,rf_clf,ocon,8,15
2020,2016,2019,5,xgb_reg,sainz,13,12
2020,2016,2019,5,xgb_clf,vettel,12,15
2020,2016,2019,5,xgb_ranker,ocon,8,15
2020,2016,2019,5,lgb_reg,leclerc,4,6
2020,2016,2019,5,lgbm_ranker,ocon,8,15
2020,2016,2019,5,ensemble,ocon,8,15
2020,2016,2019,6,ridge,sainz,6,10
2020,2016,2019,6,rf_reg,norris,10,25
2020,2016,2019,6,rf_clf,gasly,9,18
2020,2016,2019,6,xgb_reg,albon,8,15
2020,2016,2019,6,xgb_clf,norris,10,25
2020,2016,2019,6,xgb_ranker,ocon,13,12
2020,2016,2019,6,lgb_reg,ricciardo,11,18
2020,2016,2019,6,lgbm_ranker,ocon,13,12
2020,2016,2019,6,ensemble,sainz,6,10
2020,2016,2019,7,ridge,sainz,20,0
2020,2016,2019,7,rf_reg,norris,7,12
2020,2016,2019,7,rf_clf,kvyat,11,18
2020,2016,2019,7,xgb_reg,stroll,9,18
