cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2014,2010,2013,1,ridge,ricciardo,20,0
2014,2010,2013,1,rf_reg,massa,20,0
2014,2010,2013,1,rf_clf,sutil,11,18
2014,2010,2013,1,xgb_reg,bottas,5,8
2014,2010,2013,1,xgb_clf,sutil,11,18
2014,2010,2013,1,xgb_ranker,gutierrez,12,15
2014,2010,2013,1,lgb_reg,massa,20,0
2014,2010,2013,1,ensemble,button,3,4
2014,2010,2013,2,ridge,button,6,10
2014,2010,2013,2,rf_reg,kvyat,10,25
2014,2010,2013,2,rf_clf,perez,20,0
2014,2010,2013,2,xgb_reg,kvyat,10,25
2014,2010,2013,2,xgb_clf,massa,7,12
2014,2010,2013,2,xgb_ranker,massa,7,12
2014,2010,2013,2,lgb_reg,kvyat,10,25
2014,2010,2013,2,ensemble,kvyat,10,25
2014,2010,2013,3,ridge,bottas,8,15
2014,2010,2013,3,rf_reg,perez,3,4
2014,2010,2013,3,rf_clf,kvyat,11,18
2014,2010,2013,3,xgb_reg,massa,7,12
2014,2010,2013,3,xgb_clf,kevin_magnussen,18,2
2014,2010,2013,3,xgb_ranker,gutierrez,19,1
2014,2010,2013,3,lgb_reg,bottas,8,15
2014,2010,2013,3,ensemble,massa,7,12
2014,2010,2013,4,ridge,hulkenberg,6,10
2014,2010,2013,4,rf_reg,massa,15,8
2014,2010,2013,4,rf_clf,kvyat,10,25
2014,2010,2013,4,xgb_reg,hulkenberg,6,10
2014,2010,2013,4,xgb_clf,grosjean,20,0
2014,2010,2013,4,xgb_ranker,vergne,12,15
2014,2010,2013,4,lgb_reg,raikkonen,8,15
2014,2010,2013,4,ensemble,raikkonen,8,15
2014,2010,2013,5,ridge,kevin_magnussen,12,15
2014,2010,2013,5,rf_reg,raikkonen,7,12
2014,2010,2013,5,rf_clf,kevin_magnussen,12,15
2014,2010,2013,5,xgb_reg,ricciardo,3,4
2014,2010,2013,5,xgb_clf,kevin_magnussen,12,15
2014,2010,2013,5,xgb_ranker,kevin_magnussen,12,15
2014,2010,2013,5,lgb_reg,button,11,18
2014,2010,2013,5,ensemble,kevin_magnussen,12,15
