config,status,cv_delta,holdout,h_delta
A_min_child_weight3,REJECTED,1.2083333333333321,13.541666666666666,-0.4183333333333348
B_reg_lambda2,REJECTED,0.041666666666666075,13.166666666666666,-0.7933333333333348
C_colsample06,REJECTED,0.125,13.375,-0.5850000000000009
D_combined_AB,REJECTED_CV,-0.41666666666666785,,
E_n750,REJECTED_CV,-0.41666666666666785,,
F_lgbm_leaves15,REJECTED_CV,-0.625,,
