eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_A_pts2_2024cv,2024,13,xgb_reg,russell,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,xgb_clf,kevin_magnussen,15,8,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,xgb_ranker,gasly,20,0,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,lgb_reg,russell,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,lgbm_ranker,sargeant,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,ensemble,stroll,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,13,ensemble_test,stroll,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,ridge,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,rf_reg,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,rf_clf,stroll,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,xgb_reg,piastri,2,2,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,xgb_clf,stroll,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,xgb_ranker,stroll,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,lgb_reg,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,lgbm_ranker,ricciardo,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,ensemble,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,14,ensemble_test,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,ridge,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,rf_reg,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,rf_clf,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,xgb_reg,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,xgb_clf,tsunoda,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,xgb_ranker,tsunoda,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,lgb_reg,tsunoda,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,lgbm_ranker,tsunoda,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,ensemble,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,15,ensemble_test,stroll,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,ridge,alonso,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,rf_reg,alonso,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,rf_clf,alonso,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,xgb_reg,ricciardo,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,xgb_clf,albon,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,xgb_ranker,tsunoda,20,0,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,lgb_reg,ricciardo,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,lgbm_ranker,ricciardo,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,ensemble,alonso,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,16,ensemble_test,alonso,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,ridge,alonso,6,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,rf_reg,bearman,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,rf_clf,stroll,19,1,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,xgb_reg,norris,4,6,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,xgb_clf,stroll,19,1,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,xgb_ranker,ricciardo,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,lgb_reg,colapinto,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,lgbm_ranker,ricciardo,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,ensemble,bearman,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,17,ensemble_test,bearman,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,ridge,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,rf_reg,hulkenberg,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,rf_clf,kevin_magnussen,19,1,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,xgb_reg,colapinto,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,xgb_clf,ricciardo,18,2,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,xgb_ranker,stroll,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,lgb_reg,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,lgbm_ranker,stroll,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,ensemble,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,18,ensemble_test,alonso,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,ridge,hamilton,20,0,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,rf_reg,gasly,12,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,rf_clf,stroll,15,8,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,xgb_reg,tsunoda,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,xgb_clf,stroll,15,8,A_pts2_2024cv
